,bin0,bin1,bin2,bin3,bin4,bin5,bin6,bin7,bin8,bin9,bin10,bin11,bin12,bin13,bin14,bin15,bin16,bin17,bin18,bin19,bin20,bin21,bin22,bin23,bin24
2020-05-13,"['这是要退市的节奏吗？'
 '联创股份:北京中同华资产评估有限公司关于公司发行股份及支付现金购买资产并募集配套资金暨关联交易2019年度业绩承诺未实现之致歉说明'
 '联创股份:东吴证券股份有限公司关于公司发行股份及支付现金购买资产并募集配套资金暨关联交易2019年度业绩承诺实现情况之核查意见及致歉说明'
 '联创股份:东吴证券股份有限公司关于公司发行股份及支付现金购买资产并募集配套资金之2019年持续督导工作报告'
 '关于2018-2019年度发行股份募资鳌投严重信披违规，详细内容见东吴证券披露' '有什么狗庄，醒醒吧，看看筹码，只有丈股东'
 '关于2018-2019年度发行股份募资鳌投严重信披违规，详细内容见东吴证券披露' '你他妈的明天涨跌都加仓就是干'
 '完了，致歉了，这啥玩艺儿啊' '《蒙娜丽莎的眼泪》：爱你的人，不会让他的“蒙娜丽莎”流眼泪' '联创董事们良心在哪?' '要跌到1.9左右'
 '好公司股价天天新高，股价天天新低差公司。不要认为股价便宜就买，没有放量站稳20日'
 '今日头条概念联创股份子公司上海新合、上海激创主要开展程序化购买业务、搜索引擎营销'
 '我发起了一个投票，【#联创股份#联创股份涨停原因】，快来参与投票吧~' '从杀到杀富，未来知多少']",[],[],['小庄加油，还有两分钱，炸串就卖给你' '远离联创，健康长寿' '这是要破2了真你他妈的是个二货'],['小样，赶紧炸穿，不咋穿是孙子'],[],['这是唱的哪一出啊？'],['好多卖单！不敢买了！耐心等新低吧！' '既然都是韭菜，为何互相伤害'],['变盘日！拭目以待！先不买！站上去再参与！' '有人要割就让他割'],[],"['哥小试3000股，成本2.078，有没有跟的' '幸好在2.98元清仓了，不然亏损失惨重，哈哈，要学会止损，不然，谁知道企业，机构'
 '这支股票应该退市的节奏，哈哈早跑早安心']",['下面5%。上面100%。以2.09计算。'],[],[],[],[],[],[],[],['改名为《联合国股份》'],[],[],[],[],['资金天天在流出。']
2020-05-14,"['证监会投诉电话12386，强烈要求赔偿' '艾问对话张旭豪：饿了么想成为“伟大”，它够格吗？'
 '联创还是良心公司，起码提早出半年报盈利公告，今年不盈利得退市了！' '今天总算涨了2分钱！']",[],[],['创业注册制推出这种骗子公司就暴露了'],[],['各位看仔细了！'],[],['今天联创要表演了'],['买！买！买！历史底部！中期盈利！加油！'],[],['真的是要死不活……把资金放在这股上…真浪费' '不要买，让他跌破2元！'],"['这量也太低了，一天比一天量小，拉一个涨涨量' '其实一个正真的价值投资者，一定是建议人们去拥抱股票，因为随着中国的强大未来一定会'
 '即将出现金叉买入时机']",[],[],[],[],[],[],[],[],[],[],[],[],[]
2020-05-15,"['联创股份:关于延期回复深圳证券交易所年报问询函的公告'
 '如果没有虚假堆砌数字，何必要延期回复各类问询函？对于北京联创达美的问询函还没回复呢？早晚股民都会对李董和公司进行索赔和追责'
 '如果没有虚假堆砌数字，何必要延期回复各类问询函？对于北京联创达美的问询函还没回复呢？早晚股民都会对李董和公司进行索赔和追责'
 '如果没有虚假堆砌数字，何必要延期回复各类问询函？对于北京联创达美的问询函还没回复呢？早晚股民都会对' '明天会不会直接跌停呀！'
 '那个年报差异公告里要调整计入今年营业外收入的业绩补偿款1.7个亿，计算算到三季报'
 '过去两年合计亏了30多亿，还好主要是商誉计提不是经营性的，要不然肯定要退了。目前' '延期好正常，不少公司都有延期回复的。'
 '导致保留意见的那4个亿应收款是子公司上海鏊投的，财报显示，整个上海鏊投资产组可回'
 '各位联创的股东你们好：我有一个想法，我看了今年的截止2020年3月31号，公司十'
 '致公司董事长一封信：公司成与败取决于领导层的英明决策，选择的路是否正确？纸包不了'
 '今日头条快上市了，其它概念股都启动了，联创作为今日头条的代理商业务往来确确实实就' '为什么没人打电话给公司，提出警告']",[],['你TM涨点这么费劲呢，跌时就你本事了'],[],[],[],['说心里话感觉公司真是不争气，从2015年开始进行资本运作，简直就是上瘾了，动不动'],[],['抄底了'],['全是大卖单，是不是等主力卖完了，也好结束了，连续一周一直卖卖卖[摊手]'],['这个星期怎么了'],['联创股份2019年度业绩网络说明会' '垃圾，天天阴跌' '今天下午收盘后他们都在' '今天下午他们都在'],[],['垃圾你让买你股票的人得有多伤心呀'],[],[],[],['此股还有雷吗？要么妖，要么？'],['你牛逼，我走了'],[],[],"['待会的网络业绩说明会只有李洪国和财务人员以及保荐人在' '这神棍股。' '待会的网络业绩说明会只有李洪国和财务人员以及保荐人在'
 '一群饿高管狼吃尽韭菜根']",['你是死是活呀'],['近一个月这样的价格到底谁在一直减持，请公司调查公示'],['近一个月这样的价格到底谁在一直减持，']
2020-05-18,"['今天的发言都是一面倒对联创公司的哭诉。证明这公司董事长的所作所为真的太令人愤慨，'
 '其实做股票就是考验人的持股耐心，只要不退市，越跌越买，耐心持有，总会等来春暖花开' '牛B股价以跌到2元了，再跌5毛我保证买，涨到3元也一倍。'
 '务必立案调查' '务必立案调查，']",['托而不举，围而不攻，不知等啥？'],[],['按今天矛台和联创的股价我选择买联创。'],['不管了买入机会来了杀！' '没有只涨不跌的股票，也没有只跌不涨的股票。重要事情说三遍：买入.买入、买入...'],['董事长违规减持有结果了吗？惩罚措施是什么？'],[],[],['坐庄就要够狠。够狠。真他吗的很' '没破2.05   ？坐看'],['游资认亏出局，没戏'],"['又创新低了，还有底吗？' '没有最惨只有更惨' '今天能破二了，1.7前不补仓，继续等' '是谁在卖？这些人都割肉走了吗'
 '没有最低，只有更低！座等退市。' '流氓股，今天不碰' '明天破2块进' '李洪国们质押穿仓，证券公司在陆续抛售打压'
 '今天又暴跌的原因是什么？草']",['联创股份正式更名为联创绿帽。董事长请审批。' '联创股份击穿2.00的时刻来临了。'],['联创真好，一直不停的新低，太牛了，做空就是赚钱' '真的无语了'],[],['割肉走了，3w送董事会买纸钱' '大盘涨你还跌咋想的，肯定爆雷了，割肉了，'],"['啥时候破发' '从3.25一路加仓到现在，真的凉了心了。确实一群吃肉不吐骨头的。' '老板吃散户最厉害的就是山东企业。'
 '所以大家都说这几年山海关南移了']",['创业板升你也跌大盘升你还跌什么股票' '2块必破，破2买入，反弹到2.10卖出，然后会再创新低'],['谁能告诉我为啥天天跌'],['托单来了..猛烈点吧！'],"['真是垃圾中的垃圾。' '看着样子要跌停' '联创你他们要死，大盘涨，你还跌，你有本事情，给你天天跌停，你敢不敢' '何日是个头？'
 '太可怕了[哭][哭]' '这走势像出什么大事了吧？' '没听说要退市呀！']",['它在一步一步的走向死亡啊' '看样子明天继续' '是要退市吗？'],"['为什么这么暴跌。' '加油！加油！跌的在快点！好多人等着抄底，还有更多的人等着解套！哈哈！！！大散户加'
 '垃圾股，天天无理由暴跌!这种恶股，真毒啊' '啥意思啊？跌成这样？要退市了吗？']",['恶心' '退市走势，三十六计' '做局' '杀呀'],['这是要退市的节奏吗' '做局' '退市的可能性很大啊[哭][哭]' '我有5000股3.36不知道要不要割肉啊[哭][哭]'],['广州smd线边仓管理详情进入咨询页' '破位了，证明有机构在抄作，可以接点血了。' '退市股']
2020-05-19,"['明天可以进了，持有一年' '怎么会跌成这样啊？' '坐庄成本下不来，才砸盘，争取让其弃庄' '明天开盘买1半' '为什么不跌停'
 '什么人在这价格卖，不亏吗，我这一万股2.5的成本都亏一地，不到1.7我不就在补仓'
 '联创股份，长城影视马上要退市了，大家千万不要买了，赔的少的赶紧割肉' '割肉止损了，受不了了，先出来了，亏得好惨！以后尽量不碰山东股'
 '30个亿的产值没下文了？' '跌下来是正常的，之前25亿市值还是有点高。公司的化工主业本身还是有一定实力的，尤'
 '联创股份盘中最低1.94元，创一年新低' '这次不把这些垃圾股清理出去股市就不得安宁，看你还能蹦跶几天，上市这些年害了多少股'
 '看来要等注册制出了才可以再买！' '我因投资联创股份返贫了……后悔噢恼伤心难过！' '垃圾' '这股把我去年一年赚的利润都吃了，还倒亏1W，唉'
 '联创股份，连续受创伤股份，‘’名副其实‘’' '我听到了遍地哀嚎的声音，都别急再等等补仓，明年会升到两块两块五以上的，只要今年业'
 '可降解塑料产业市场巨大利好联创的业绩增长，大户多杀多全成了韭菜，这就是不成熟的市' '时隔20年明日见证519行情，联创股份百分百涨停！'
 '这到底是啥股票，专门骗人的吧' '去年公司所谓推出的全球领先的制冷剂几个月后' '今天想换回来，不知会怎样'
 '今天能到1.8吗？？？大散户们加油啊，我看好你们！估计这股半年内没啥行情！继续等']",['真是个磨人的小妖精'],['快下来，兴奋中' '都早点跑吧，奉劝大家了，五块的成本割了' '冲啊'],[],[],['昨天跌五个多点，今天半个点都难张，赶紧跑吧' '都是大手砸单了'],['坏公司' '冲高回落的好[赞]'],[],['联创股份走着价值回归之路'],[],['烂泥上不了墙就赶紧下来吧，要不又要被小散给做踢了' '亏损严重！操蛋' '下跌还是很强势的，趋势不改'],['哪位知道连续两年亏损的联创怎么未加*st？' '老套路，砸盘准备' '因炒股，我返贫了。尤其是投资了联创股份。巨亏！时而提到股市瑟瑟发抖……'],['连续两年亏损为什么不ST'],[],['跳水时间到了！103b'],[],[],['走上一条不归路害股民谁买谁倒霉！'],['割肉走了，垃圾股，这种暴雷股，真不能碰'],['谁一直压盘呀' '3000手也不过60万，天呐，即使有万手哥，也是死翘翘'],[],[],['一分钱玩一天'],[],[]
2020-05-20,"['25万股全卖了。亏了近5万。已拉入黑名单。' '脏股' '退市' '亏损严重！十五买入的现成本价七块三毛三有谁比我[哭][哭][兴奋][兴奋]'
 '今天氟化工涨2.3%！8月创业板实行注册制，留给大散户的时间不多了，想办法抓紧出' '这货怎么还是融资标的、害人么'
 '氟化工板块涨2.3%！！！8月创业板注册制实行，留给大散户的时间不多了，能割肉的'
 '技不如人，愿赌服输。从3.2接盘，一路加仓到1.96，投资是种选择与判断，我是看'
 '20个交易日了，跌了百分之三十除了今天进点资金其他一毛没进全是流出，换庄也该结束' '这样的公司害了多少股民。该换主了。'
 '有股喊退市的一般来说都疯了' '上半年主营亏损约8000万' '以前注入的互联网公司连一个网页都没有，有点搞笑' '做局 ，在做局'
 '具有民族特色，地中海饮食与西餐的结合' '为什么那么多万手压单，不让股价上涨？主力要作甚？'
 '今天看了联创只是小毛见大毛。梦洁比他厉害多了，高位套现，一个所谓网红炒上天。市场' '名副其实'
 '联创降解塑料龙头生产出头盔最热销高强度的材料。' '2年连续亏损为什么没有被st？'
 '这个垃圾股估计要退市，氟化工涨它仍然一动不动，已经没有救了'
 '今天跌5个点还是10个点？大散户们加油出啊，要不真来不急了，到时候你手里就是一张' '今天的逆战']",['到底了，要拉了' '碰到联仓股份公司这个鬼' '什么情况？怎么跌成这样？要往死整人吗？'],"['这个垃圾没救了，天天这样不玩了耗不起。认亏出局买强势股。太恐怖的垃圾股，删除自选' '没机构对倒能跌的这么狠！' '逼死人的节奏'
 '多跌了大爷，有多少人在往楼顶爬呢？再跌真会死人的！' '卧槽，奔着倒闭去的啊' '改名连创新低吧，害死人了，全部身价在里面！' '见鬼了'
 '快点跌，跌停，大家都买，看垃圾还能咋滴']","['破产了！破罐子破摔！都跑吧！' '一天下一个台阶，明天1块7见' '1.5-17不远了，快要可以补仓了'
 '靠16买的，3元跑了。现在还这个熊样，好股' '今天是要跌停后逆袭。']",['今天的低点，是永远的低点。' '不管你们怎么看，1.86我满仓干了'],"['割肉了，恶股，害死人啊，这种股为什么还留在股市害人?' '今天能红，算你牛皮' '不管你们怎么看，1.86我满仓干了'
 '这股明显玩不下去了，还想用壳打擦边球就打错算盘了，倒闭退市指日可待，痛下决心早点' '怎么不跌停']",['千万不要对联创有希望，只会让你失望更多。'],['不要压单，涨点儿再卖不好嘛' '瞎眼买了这货。'],['不达预期，跌幅不够大！大散户们，再不跑你们真没机会了！' '那个什么酒钢'],[],['酒钢是只标准的市值退个股' '参考创业板神雾，盛运两个股，股价跌至0.5元'],"['参照创业板神雾，跌到0.5元' '1元不是底！？' '价值6毛钱股？' '即将ST的股票' '希望他连续大跌跌到0.5元退市，省的在市场害人'
 '下午能拉起，短线就止跌了']",[],[],[],[],[],[],[],[],[],['别着急买啊，等到1.7或者1.5在买，急啥？今天砸的不深，明天继续！'],['尿性！不买！'],['不行拉不起来，这卖单太大了，总是有出不完大单，出了一个月，现在还有那么多大卖单，'],[]
2020-05-21,"['联创亏百分之33，不要了，不是人' '联创股份盘中最低1.84元，创历史新低' '注册制是好事，起码不会有' '到1.5元了，我卖给你'
 '入股市以来这是第二支让我损失最多的股，第一支协鑫集成复市追高损失了50%，这个让' '这股票会突然退市吗' '123'
 '中农发种业集团股份有限公司关于向股东借款的关联交易公告' '据说这股和我有缘，去年给我捞了15万，所以今天我又来了，1.92的本，绪天神佛保'
 '痛快点' '这股除了业绩差，还要其他要命的利空吗？求前辈指教！'
 '今天看了一篇关于002601龙蟒佰利的文章，大股东减持套现，不由得更加担忧手上持' '越跌越要买，直到明年卖你'
 '安装假肢、装配辅助器具，大丰区残联在行动……' '注册制后暂无退市风险，即使扣非净利润为负' '这股看样也快进入退市的行列中了'
 '压盘的人怎么想的']",['头盔概念？'],['昨天1.84进的今天1.93还给你了！等1.7在进！！！大散户加油，别拿着等退市' '还在底部割肉?'],[],[],[],['一个点儿玩一天，累不累' '联创董事长向广大投资者问好'],[],[],['卖！卖！卖！重要的事情说三遍！' '梭哈'],['新材料氟化工，国家支持企业，耐心等待' '果然是改不了每天一副屎样'],[],[],[],['今天不出的昨天进的明天又会埋在里面，见好就收，1.5-1.7再进'],['市值破20亿再考虑建仓'],['期待1.6左右。' '终于露出真面目了' '终于露出真面目了'],[],[],[],[],['这个是董事长吗，' '还没到底呀？' '还没到底呀？'],[],['这股什么情况，有大神可以指点一二嘛' '天天逼我骂街啊'],['联创的发行价是1.89，个人观点发行价以下可以闭着眼买。本人非托，不喜勿喷[鼓掌']
2020-05-22,"['大户散户的信心都被击穿了，下一步看谁麻木。然后就是没得玩了。' '整死了更好，后市加速下跌' '跨了'
 '联创股份收报1.89元，连续2日创历史新低' '空头不死，跌势不止。' '因投资联创股份巨额亏损。返贫了返贫了……一辈子最后悔的事！！'
 '走了！根本没有低' '赶紧退市吧，别在这圈钱了，不好的企业该退就退。'
 '看来要停牌了！换法人董事长及总经理，股性及股价可向上走！否则每月来个公告后退20' '不止跌，又得破位！'
 '明天回复年报问询函，明天会披露吗？' '保险扩容为稳就业提供增量空间' '直接跌停开盘，什么意思？']",['注册制出来亏损问题股不碰' '期待万手哥砸盘，目标1.7！！！！大散户加油，砸盘少不了你们！'],['股市的钱是赚不完的但是绝对能亏完[哭][哭]'],['前后5次追买，越套越深！'],[],['每次涨两个点就滚下来了，能不能换个套路'],[],[],[],['联创股份业绩“拼图”难持续' '消毒剂需求旺盛！'],['500W突破！'],['回来看来1.97拋对了。补数次都是股价越补越跌、越补越亏，干脆趁早出掉一了百了。' '商誉减值，大部分资产掏空！'],[],[],['好不容易硬气一会没跟跌，千万要挺住别跳水'],[],[],['跑赢了大盘，你行的！'],[],[],['联创股份是个败家子.2015年最高不送配145元.现在不到2元/股' '这逼还能装多久？'],[],['今天表现好过大盘' '呵呵今天比大盘强'],[],"['今天还没跌停，挺奇怪的！！大散户加油，你们在不跑可真来不急了！' '今天没跌停奇怪，大散户加油，再不跑可真来不急了'
 '这两天卖出的都赚的盆满钵满[微笑]']"
2020-05-25,['造物车工坊丨2.9秒破百的比亚迪汉，自主品牌轿跑的新选择' '大门智能锁生产厂家多重优惠-东商网企业资讯'],[],['快跑'],[],['联创改投第三产业织布了'],['真够费劲的' '今天也许会见到1.94元！' '天天这样有意思吗？' '今日大单随时出手！'],[],['跌的太慢了，大散户们加油出啊！以后不会有雷，会有原子弹的！到时候尸骨无存！' '谁TM一直在压盘'],[],[],['庄家加油把压盘的那个逼吃了，' '彻底废了[傲]'],"['质押股没有爆仓，主力是不会拉的。跌下来的目的是奔着质押股而来。'
 '补无数次都是亏损的股-联创股份。山东公司牛B！把钱存入银行比这垃圾强多了。联创新']",[],[],[],['这厮还有底吗？' '说好的22号回复证监会问询，到现在都没有，怎么回事？蛮奇怪的'],[],[],['你妈只跌不升'],[],[],['这厮不会退市吧？' '退市的节奏啊'],[],['还能打压多少怎么不来十个跌停呢可不一步到位了'],[]
2020-05-26,"['沙雕股' '联创股份收报1.88元，创历史新低' '如果今天不回复年报问询函，就说明' '真退市吗'
 '这股要灰飞烟灭了，全部投资者被垃圾洪团队玩死了，唉，怪自己看错了投资标的' '离退市仅8毛8，来一起干下去' '鼓励你买入股票，神奇的把你干掉'
 '爆仓的质押票没见平仓公告！？？？？？暗中出货了吗？这是不是违法啊？' '可能破1.65元'
 '今天大散户们加油，创个新低如何！！！短期1.5长期1元以下！别客气使劲砸！反正是'
 '大散户加油！！创个新低又如何！反正是早晚要退市的，早割早托生！']",['湖底！稳固！'],[],[],[],['这股拉高就是为了出货，'],['三块二的本，如果不退市，坚持五年能解套吗？'],['[鼓掌]面值退市了'],[],[],[],[],[],[],[],[],[],[],[],['待会拉停'],[],[],[],[],[]
