,titles,times,links,reads,reply
0,还能拉起来吗,04-20 12:07,"https://guba.eastmoney.com/news,300540,1025871490.html",275,0
1,20.68走得,04-20 10:56,"https://guba.eastmoney.com/news,300540,1025823828.html",418,2
2,红了不可能红的撤离,04-20 10:25,"https://guba.eastmoney.com/news,300540,1025786663.html",308,0
3,20.25满仓，感激卖出的。,04-20 09:46,"https://guba.eastmoney.com/news,300540,1025729910.html",590,4
4,大闷一把,04-20 09:31,"https://guba.eastmoney.com/news,300540,1025703821.html",349,0
5,跌到16没敢买，小看你了,04-19 11:07,"https://guba.eastmoney.com/news,300540,1025567820.html",231,0
6,K线形态惊现大阳烛！后市看多！,04-19 09:34,"https://guba.eastmoney.com/news,300540,1025536480.html",1323,0
7,明天好得大跌了,04-19 03:43,"https://guba.eastmoney.com/news,300540,1025428217.html",357,1
8,庄家睡着了[大笑][大笑][捂脸][捂脸][捂脸][捂脸]大盘都飞起来了庄家没看,04-19 02:33,"https://guba.eastmoney.com/news,300540,1025384350.html",376,2
9,来，来，来，盘后验证[色],04-19 02:14,"https://guba.eastmoney.com/news,300540,1025366533.html",320,0
10,指数维持强势震荡，个股机会仍然不少，无人驾驶，次新，区块链，医美，碳中和等仍将在,04-19 01:54,"https://guba.eastmoney.com/news,300540,1025349470.html",555,0
11,今日收盘20.84,04-19 01:48,"https://guba.eastmoney.com/news,300540,1025344787.html",427,1
12,本周破高点，没问题！今天最好不要追了！,04-19 01:18,"https://guba.eastmoney.com/news,300540,1025319318.html",518,3
13,买100股意思一下,04-19 01:14,"https://guba.eastmoney.com/news,300540,1025316510.html",294,0
14,这周能破22.3吗？！,04-19 12:05,"https://guba.eastmoney.com/news,300540,1025283241.html",419,2
15,深冷的主升浪还没到来，等四川国资委四川交投注资后将会改变主营业务，那时候才是冷储,04-19 10:52,"https://guba.eastmoney.com/news,300540,1025231489.html",714,1
16,突破突破,04-19 10:27,"https://guba.eastmoney.com/news,300540,1025203599.html",357,0
17,拉动起来好解套,04-19 10:27,"https://guba.eastmoney.com/news,300540,1025202731.html",309,0
18,牛牛牛牛,04-19 10:26,"https://guba.eastmoney.com/news,300540,1025202057.html",344,0
19,管住手，主力要拉就和雪人一样高开封板，不可能这个位置让散户进的，今天的上涨振荡全,04-19 10:24,"https://guba.eastmoney.com/news,300540,1025200136.html",453,1
20,[想一下]这里没有几个人，深冷股份其实是氢能源龙头，加氢站，加氢枪，制造氢气液化,04-19 10:12,"https://guba.eastmoney.com/news,300540,1025185127.html",846,3
21,应该动一动，拉一拉,04-19 09:57,"https://guba.eastmoney.com/news,300540,1025166275.html",331,0
22,来个20CM，让我们爽一爽！！！,04-19 09:56,"https://guba.eastmoney.com/news,300540,1025164501.html",348,0
23,顶不上去,04-19 09:34,"https://guba.eastmoney.com/news,300540,1025133741.html",312,0
24,今天发套,04-19 06:59,"https://guba.eastmoney.com/news,300540,1025089477.html",505,0
25,温室气体管控次新股一一盛剑环境！,04-18 01:29,"https://guba.eastmoney.com/news,300540,1025012871.html",668,0
26,中美气候合作，氢能概念大股。,04-18 12:35,"https://guba.eastmoney.com/news,300540,1025008883.html",740,0
27,今天已经计提一个涨停板了！！！,04-18 10:37,"https://guba.eastmoney.com/news,300540,1024999852.html",622,2
28,[图片],04-17 12:18,"https://guba.eastmoney.com/news,300540,1024920915.html",580,1
29,转发,04-17 11:40,"https://guba.eastmoney.com/news,300540,1024917899.html",628,0
30,周一要大涨了。。。。,04-17 11:37,"https://guba.eastmoney.com/news,300540,1024917607.html",670,1
31,大半年越补越亏，存一半！,04-16 10:59,"https://guba.eastmoney.com/news,300540,1024870609.html",337,0
32,上午还亏二千多下午挣了7百元出了，谢谢主力,04-16 08:52,"https://guba.eastmoney.com/news,300540,1024848956.html",317,0
33,感谢主力让我20.18挣钱出来了。,04-16 04:45,"https://guba.eastmoney.com/news,300540,1024799417.html",295,0
34,凉凉了,04-16 02:43,"https://guba.eastmoney.com/news,300540,1024753611.html",303,0
35,有点怪,04-16 02:29,"https://guba.eastmoney.com/news,300540,1024742909.html",284,0
