date,bin0,bin1,bin2,bin3,bin4,bin5,bin6,bin7,bin8,bin9,bin10,bin11,bin12,bin13,bin14,bin15,bin16,bin17,bin18,bin19,bin20,bin21,bin22,bin23,bin24
2020-05-13,"[9900.0, 9900.0, 9900.0, 0.0075, 9900.0, 4.4711, -0.0632]","[149700.0, 159600.0, 79800.0, 0.1129, 149700.0, 0.0331, -0.269]","[134200.0, 293800.0, 97933.3333, 0.1012, 134200.0, 0.0627, -0.2084]","[111500.0, 405300.0, 131800.0, 0.0841, 111500.0, 0.0246, -0.0076]","[61900.0, 467200.0, 102533.3333, 0.0467, 61900.0, 0.008, -0.5061]","[38900.0, 506100.0, 70766.6667, 0.0293, 38900.0, 0.0159, -0.2749]","[34100.0, 540200.0, 44966.6667, 0.0257, 34100.0, 0.0153, -0.215]","[62350.0, 602550.0, 45116.6667, 0.047, 62350.0, 0.0168, -0.2917]","[15700.0, 618250.0, 37383.3333, 0.0118, 15700.0, 0.0074, -0.0122]","[10600.0, 628850.0, 29550.0, 0.008, 10600.0, 0.0057, 0.5557]","[33000.0, 661850.0, 19766.6667, 0.0249, 33000.0, 0.0147, 0.3091]","[13700.0, 675550.0, 19100.0, 0.0103, 13700.0, 0.0055, 0.2463]","[36700.0, 712250.0, 27800.0, 0.0277, 36700.0, 0.0083, -0.1655]","[25500.0, 737750.0, 25300.0, 0.0192, 25500.0, 0.0069, -0.4942]","[44400.0, 782150.0, 35533.3333, 0.0335, 44400.0, 0.0119, 0.2334]","[39600.0, 821750.0, 36500.0, 0.0299, 39600.0, 0.0252, -0.1204]","[26200.0, 847950.0, 36733.3333, 0.0198, 26200.0, 0.012, -0.086]","[23700.0, 871650.0, 29833.3333, 0.0179, 23700.0, 0.0094, 0.3143]","[33000.0, 904650.0, 27633.3333, 0.0249, 33000.0, 0.0152, -0.1999]","[38108.0, 942758.0, 31602.6667, 0.0287, 38108.0, 0.0083, 0.3597]","[27600.0, 970358.0, 32902.6667, 0.0208, 27600.0, 0.0082, 0.3846]","[46300.0, 1016658.0, 37336.0, 0.0349, 46300.0, 0.0077, -0.3929]","[85500.0, 1102158.0, 53133.3333, 0.0645, 85500.0, 0.0053, -0.1115]","[47300.0, 1149458.0, 59700.0, 0.0357, 47300.0, 0.0046, 0.4733]","[176200.0, 1325658.0, 103000.0, 0.1329, 176200.0, 0.0113, -0.2089]"
2020-05-14,"[2300.0, 2300.0, 2300.0, 0.0044, 9900.0, 5.9432, 0.3094]","[189700.0, 192000.0, 96000.0, 0.1087, 149700.0, 0.0351, 0.6498]","[91800.0, 283800.0, 94600.0, 0.0759, 134200.0, 0.0128, 0.0979]","[42700.0, 326500.0, 108066.6667, 0.0538, 111500.0, 0.0221, 0.2506]","[70700.0, 397200.0, 68400.0, 0.0428, 61900.0, 0.009, 0.332]","[57300.0, 454500.0, 56900.0, 0.0304, 38900.0, 0.0321, 0.2239]","[159000.0, 613500.0, 95666.6667, 0.0566, 34100.0, 0.0294, 0.4099]","[83400.0, 696900.0, 99900.0, 0.0465, 62350.0, 0.0242, 0.0711]","[25600.0, 722500.0, 89333.3333, 0.013, 15700.0, 0.0144, -0.1329]","[28300.0, 750800.0, 45766.6667, 0.0118, 10600.0, 0.0166, 0.4922]","[34100.0, 784900.0, 29333.3333, 0.0218, 33000.0, 0.0062, 0.1354]","[61600.0, 846500.0, 41333.3333, 0.0221, 13700.0, 0.0134, -0.1078]","[26500.0, 873000.0, 40733.3333, 0.0211, 36700.0, 0.0124, -0.8001]","[54100.0, 927100.0, 47400.0, 0.0245, 25500.0, 0.0133, 0.4777]","[56300.0, 983400.0, 45633.3333, 0.0322, 44400.0, 0.0291, -0.1601]","[27500.0, 1010900.0, 45966.6667, 0.0225, 39600.0, 0.0083, -0.2029]","[31300.0, 1042200.0, 38366.6667, 0.0185, 26200.0, 0.0073, -0.0244]","[29600.0, 1071800.0, 29466.6667, 0.0171, 23700.0, 0.0104, 0.0639]","[65200.0, 1137000.0, 42033.3333, 0.0304, 33000.0, 0.019, -0.046]","[128200.0, 1265200.0, 74333.3333, 0.0497, 38108.0, 0.0179, 0.2943]","[75800.0, 1341000.0, 89733.3333, 0.0313, 27600.0, 0.0092, -0.2239]","[16600.0, 1357600.0, 73533.3333, 0.022, 46300.0, 0.006, -0.0205]","[35300.0, 1392900.0, 42566.6667, 0.042, 85500.0, 0.0065, 0.4938]","[153500.0, 1546400.0, 68466.6667, 0.0601, 47300.0, 0.0129, 0.3666]","[270208.0, 1816608.0, 153002.6667, 0.1408, 176200.0, 0.0129, -0.2283]"
2020-05-15,"[6800.0, 6800.0, 6800.0, 0.0045, 9900.0, 4.2685, -0.2218]","[91600.0, 98400.0, 49200.0, 0.0945, 149700.0, 0.0318, -0.0288]","[76800.0, 175200.0, 58400.0, 0.0691, 134200.0, 0.0098, -0.3626]","[141200.0, 316400.0, 103200.0, 0.0699, 111500.0, 0.0266, 0.1162]","[116200.0, 432600.0, 111400.0, 0.0565, 61900.0, 0.0141, -0.2884]","[33100.0, 465700.0, 96833.3333, 0.0283, 38900.0, 0.0158, -0.12]","[30200.0, 495900.0, 59833.3333, 0.045, 34100.0, 0.0113, 0.5631]","[22200.0, 518100.0, 28500.0, 0.0363, 62350.0, 0.0114, 0.0132]","[43500.0, 561600.0, 31966.6667, 0.0191, 15700.0, 0.0055, 0.3222]","[50150.0, 611750.0, 38616.6667, 0.0199, 10600.0, 0.0083, 0.1773]","[17600.0, 629350.0, 37083.3333, 0.0188, 33000.0, 0.0056, -0.2652]","[40900.0, 670250.0, 36216.6667, 0.0246, 13700.0, 0.0167, -0.3477]","[68400.0, 738650.0, 42300.0, 0.0306, 36700.0, 0.0306, -0.5241]","[33150.0, 771800.0, 47483.3333, 0.0243, 25500.0, 0.0175, 0.2114]","[18900.0, 790700.0, 40150.0, 0.026, 44400.0, 0.0083, 0.2153]","[42700.0, 833400.0, 31583.3333, 0.0253, 39600.0, 0.0101, 0.393]","[14300.0, 847700.0, 25300.0, 0.0158, 26200.0, 0.0125, 0.4273]","[51900.0, 899600.0, 36300.0, 0.0239, 23700.0, 0.0156, 0.0403]","[26700.0, 926300.0, 30966.6667, 0.0267, 33000.0, 0.0154, -0.5795]","[12000.0, 938300.0, 30200.0, 0.036, 38108.0, 0.0081, -0.7073]","[48000.0, 986300.0, 28900.0, 0.0324, 27600.0, 0.01, 0.744]","[72400.0, 1058700.0, 44133.3333, 0.0321, 46300.0, 0.0085, 0.4295]","[89200.0, 1147900.0, 69866.6667, 0.0495, 85500.0, 0.0076, 0.1638]","[101300.0, 1249200.0, 87633.3333, 0.0645, 47300.0, 0.0079, 0.4642]","[135100.0, 1384300.0, 108533.3333, 0.1264, 176200.0, 0.0112, -0.0718]"
2020-05-18,"[10300.0, 10300.0, 10300.0, 0.0043, 9900.0, 4.9907, -0.3669]","[155200.0, 165500.0, 82750.0, 0.0899, 149700.0, 0.0418, -0.4445]","[66200.0, 231700.0, 77233.3333, 0.0494, 134200.0, 0.0285, 0.2494]","[78100.0, 309800.0, 99833.3333, 0.0585, 111500.0, 0.0176, -0.345]","[45700.0, 355500.0, 63333.3333, 0.0507, 61900.0, 0.0099, 0.4462]","[25900.0, 381400.0, 49900.0, 0.024, 38900.0, 0.0114, -0.1082]","[16300.0, 397700.0, 29300.0, 0.0399, 34100.0, 0.0129, 0.6258]","[20300.0, 418000.0, 20833.3333, 0.025, 62350.0, 0.0118, -0.4345]","[79700.0, 497700.0, 38766.6667, 0.0321, 15700.0, 0.0159, 0.2379]","[36800.0, 534500.0, 45600.0, 0.0251, 10600.0, 0.0254, 0.2416]","[33100.0, 567600.0, 49866.6667, 0.0175, 33000.0, 0.0133, 0.0086]","[37600.0, 605200.0, 35833.3333, 0.0292, 13700.0, 0.0083, 0.6447]","[36900.0, 642100.0, 35866.6667, 0.0292, 36700.0, 0.0161, -0.058]","[17500.0, 659600.0, 30666.6667, 0.0216, 25500.0, 0.0163, -0.3538]","[13621.0, 673221.0, 22673.6667, 0.0178, 44400.0, 0.0089, 0.0128]","[12200.0, 685421.0, 14440.3333, 0.0179, 39600.0, 0.0055, 0.5164]","[40650.0, 726071.0, 22157.0, 0.0178, 26200.0, 0.0125, -0.0576]","[21200.0, 747271.0, 24683.3333, 0.0224, 23700.0, 0.0118, 0.1177]","[19200.0, 766471.0, 27016.6667, 0.0225, 33000.0, 0.0084, -0.6296]","[30750.0, 797221.0, 23716.6667, 0.033, 38108.0, 0.0075, -0.4235]","[56700.0, 853921.0, 35550.0, 0.0375, 27600.0, 0.0143, -0.0988]","[209800.0, 1063721.0, 99083.3333, 0.0652, 46300.0, 0.0291, -0.4676]","[197500.0, 1261221.0, 154666.6667, 0.07, 85500.0, 0.0198, -0.3409]","[162700.0, 1423921.0, 190000.0, 0.0872, 47300.0, 0.0173, 0.2589]","[141450.0, 1565371.0, 167216.6667, 0.1122, 176200.0, 0.0099, 0.1457]"
2020-05-19,"[6000.0, 6000.0, 6000.0, 0.0055, 9900.0, 4.9367, -0.2023]","[166200.0, 172200.0, 86100.0, 0.1003, 149700.0, 0.0264, 0.235]","[216142.0, 388342.0, 129447.3333, 0.0914, 134200.0, 0.0329, 0.1338]","[102400.0, 490742.0, 161580.6667, 0.0785, 111500.0, 0.0365, -0.3089]","[23600.0, 514342.0, 114047.3333, 0.0441, 61900.0, 0.0176, -0.5138]","[48700.0, 563042.0, 58233.3333, 0.0267, 38900.0, 0.0215, -0.2772]","[31700.0, 594742.0, 34666.6667, 0.0194, 34100.0, 0.0206, 0.0741]","[39900.0, 634642.0, 40100.0, 0.0205, 62350.0, 0.0102, -0.108]","[15923.0, 650565.0, 29174.3333, 0.0318, 15700.0, 0.0077, 0.4489]","[32100.0, 682665.0, 29307.6667, 0.0286, 10600.0, 0.0168, -0.2577]","[33400.0, 716065.0, 27141.0, 0.0204, 33000.0, 0.0207, 0.7286]","[54277.0, 770342.0, 39925.6667, 0.0326, 13700.0, 0.0088, 0.1208]","[28100.0, 798442.0, 38592.3333, 0.032, 36700.0, 0.0041, -0.2569]","[21151.0, 819593.0, 34509.3333, 0.0175, 25500.0, 0.0145, -0.3084]","[21000.0, 840593.0, 23417.0, 0.0132, 44400.0, 0.0172, 0.0895]","[21000.0, 861593.0, 21050.3333, 0.0186, 39600.0, 0.0082, -0.7467]","[39800.0, 901393.0, 27266.6667, 0.0229, 26200.0, 0.0057, -0.0666]","[12300.0, 913693.0, 24366.6667, 0.0204, 23700.0, 0.0134, -0.46]","[27200.0, 940893.0, 26433.3333, 0.0179, 33000.0, 0.0102, -0.1881]","[12500.0, 953393.0, 17333.3333, 0.0128, 38108.0, 0.0088, -0.6755]","[43200.0, 996593.0, 27633.3333, 0.0354, 27600.0, 0.0092, 0.0172]","[25900.0, 1022493.0, 27200.0, 0.0692, 46300.0, 0.0086, 0.5504]","[37300.0, 1059793.0, 35466.6667, 0.0737, 85500.0, 0.0056, -0.8998]","[63616.0, 1123409.0, 42272.0, 0.0763, 47300.0, 0.0084, 0.3818]","[101900.0, 1225309.0, 67605.3333, 0.0904, 176200.0, 0.0155, -0.2213]"
2020-05-20,"[3600.0, 3600.0, 3600.0, 0.0042, 9900.0, 4.7668, -0.3283]","[123400.0, 127000.0, 63500.0, 0.0907, 149700.0, 0.0299, -0.3097]","[62051.0, 189051.0, 63017.0, 0.0791, 134200.0, 0.0133, -0.0088]","[62550.0, 251601.0, 82667.0, 0.0508, 111500.0, 0.0231, -0.6353]","[51700.0, 303301.0, 58767.0, 0.0214, 61900.0, 0.0194, 0.0885]","[37500.0, 340801.0, 50583.3333, 0.0225, 38900.0, 0.0122, 0.2055]","[22500.0, 363301.0, 37233.3333, 0.0144, 34100.0, 0.0124, 0.1665]","[19400.0, 382701.0, 26466.6667, 0.0171, 62350.0, 0.0066, -0.1839]","[52000.0, 434701.0, 31300.0, 0.0265, 15700.0, 0.0095, -0.366]","[45600.0, 480301.0, 39000.0, 0.0212, 10600.0, 0.0194, 0.092]","[52200.0, 532501.0, 49933.3333, 0.0214, 33000.0, 0.0085, -0.2584]","[13700.0, 546201.0, 37166.6667, 0.0242, 13700.0, 0.0073, -0.4113]","[35100.0, 581301.0, 33666.6667, 0.019, 36700.0, 0.0122, 0.7424]","[40000.0, 621301.0, 29600.0, 0.0135, 25500.0, 0.0092, 0.624]","[46200.0, 667501.0, 40433.3333, 0.0133, 44400.0, 0.0082, 0.2822]","[42000.0, 709501.0, 42733.3333, 0.0125, 39600.0, 0.0104, 0.3228]","[42700.0, 752201.0, 43633.3333, 0.0238, 26200.0, 0.0075, 0.1242]","[214800.0, 967001.0, 99833.3333, 0.0295, 23700.0, 0.0303, 0.3128]","[349000.0, 1316001.0, 202166.6667, 0.0466, 33000.0, 0.0387, -0.4755]","[419652.0, 1735653.0, 327817.3333, 0.0522, 38108.0, 0.0731, 0.1278]","[743900.0, 2479553.0, 504184.0, 0.0987, 27600.0, 0.0482, 0.0595]","[182800.0, 2662353.0, 448784.0, 0.0701, 46300.0, 0.0295, -0.2581]","[135050.0, 2797403.0, 353916.6667, 0.0658, 85500.0, 0.0094, 0.1851]","[317500.0, 3114903.0, 211783.3333, 0.0839, 47300.0, 0.0366, -0.4389]","[196200.0, 3311103.0, 216250.0, 0.0776, 176200.0, 0.0112, -0.138]"
2020-05-21,"[19700.0, 19700.0, 19700.0, 0.0056, 2300.0, 4.7169, -0.355]","[296400.0, 316100.0, 158050.0, 0.1119, 189700.0, 0.0365, 0.4421]","[197900.0, 514000.0, 171333.3333, 0.1013, 91800.0, 0.0481, -0.3316]","[86000.0, 600000.0, 193433.3333, 0.0499, 42700.0, 0.0181, -0.1283]","[26654.0, 626654.0, 103518.0, 0.0165, 70700.0, 0.0165, 0.0005]","[41946.0, 668600.0, 51533.3333, 0.0247, 57300.0, 0.0167, 0.6811]","[27054.0, 695654.0, 31884.6667, 0.0158, 159000.0, 0.0203, 0.0763]","[56000.0, 751654.0, 41666.6667, 0.0231, 83400.0, 0.0094, 0.1986]","[61900.0, 813554.0, 48318.0, 0.0209, 25600.0, 0.0114, 0.2149]","[25900.0, 839454.0, 47933.3333, 0.0181, 28300.0, 0.0078, -0.17]","[75200.0, 914654.0, 54333.3333, 0.0281, 34100.0, 0.0098, 0.2936]","[14200.0, 928854.0, 38433.3333, 0.0187, 61600.0, 0.0116, -0.5636]","[56900.0, 985754.0, 48766.6667, 0.0216, 26500.0, 0.0138, 0.328]","[48850.0, 1034604.0, 39983.3333, 0.0187, 54100.0, 0.0126, 0.2615]","[53400.0, 1088004.0, 53050.0, 0.0201, 56300.0, 0.0083, -0.4336]","[31300.0, 1119304.0, 44516.6667, 0.0157, 27500.0, 0.0064, -0.4584]","[97700.0, 1217004.0, 60800.0, 0.033, 31300.0, 0.0163, 0.3263]","[34000.0, 1251004.0, 54333.3333, 0.0312, 29600.0, 0.0068, 0.8886]","[34400.0, 1285404.0, 55366.6667, 0.0488, 65200.0, 0.0087, 0.4616]","[18100.0, 1303504.0, 28833.3333, 0.049, 128200.0, 0.0159, -0.1095]","[141000.0, 1444504.0, 64500.0, 0.1125, 75800.0, 0.0203, 0.3208]","[46600.0, 1491104.0, 68566.6667, 0.034, 16600.0, 0.0105, 0.0996]","[113600.0, 1604704.0, 100400.0, 0.0445, 35300.0, 0.0151, -0.705]","[73350.0, 1678054.0, 77850.0, 0.0627, 153500.0, 0.01, 0.1199]","[142300.0, 1820354.0, 109750.0, 0.0735, 270208.0, 0.0081, -0.2856]"
2020-05-22,"[9300.0, 9300.0, 9300.0, 0.006, 6800.0, 5.0272, 0.4146]","[279800.0, 289100.0, 144550.0, 0.1268, 91600.0, 0.049, -0.1114]","[63150.0, 352250.0, 117416.6667, 0.056, 76800.0, 0.0172, 0.0746]","[47800.0, 400050.0, 130250.0, 0.0323, 141200.0, 0.0186, -0.2667]","[36400.0, 436450.0, 49116.6667, 0.0179, 116200.0, 0.013, -0.1268]","[50700.0, 487150.0, 44966.6667, 0.0223, 33100.0, 0.0247, -0.5624]","[45300.0, 532450.0, 44133.3333, 0.0169, 30200.0, 0.0181, -0.2887]","[63100.0, 595550.0, 53033.3333, 0.0258, 22200.0, 0.0163, -0.1204]","[37100.0, 632650.0, 48500.0, 0.0245, 43500.0, 0.008, -0.2031]","[17400.0, 650050.0, 39200.0, 0.0131, 50150.0, 0.0084, 0.3615]","[11700.0, 661750.0, 22066.6667, 0.0215, 17600.0, 0.0075, 0.3158]","[20000.0, 681750.0, 16366.6667, 0.0083, 40900.0, 0.0107, 0.2606]","[58504.0, 740254.0, 30068.0, 0.0265, 68400.0, 0.017, -0.1153]","[30800.0, 771054.0, 36434.6667, 0.0196, 33150.0, 0.016, 0.4462]","[81496.0, 852550.0, 56933.3333, 0.0319, 18900.0, 0.0139, 0.4927]","[77200.0, 929750.0, 63165.3333, 0.0265, 42700.0, 0.0108, 0.4469]","[40100.0, 969850.0, 66265.3333, 0.0308, 14300.0, 0.0145, -0.4426]","[33300.0, 1003150.0, 50200.0, 0.035, 51900.0, 0.0096, 0.1203]","[34200.0, 1037350.0, 35866.6667, 0.0488, 26700.0, 0.0071, -0.3485]","[17200.0, 1054550.0, 28233.3333, 0.0493, 12000.0, 0.0158, 0.2114]","[42600.0, 1097150.0, 31333.3333, 0.1099, 48000.0, 0.0064, -0.1808]","[140800.0, 1237950.0, 66866.6667, 0.0572, 72400.0, 0.0198, -0.0208]","[14900.0, 1252850.0, 66100.0, 0.0376, 89200.0, 0.0199, -0.1417]","[50400.0, 1303250.0, 68700.0, 0.0562, 101300.0, 0.0141, 0.6818]","[249233.0, 1552483.0, 104844.3333, 0.0993, 135100.0, 0.0376, 0.0055]"
2020-05-25,"[5700.0, 5700.0, 5700.0, 0.0072, 10300.0, 4.4593, 0.2955]","[235600.0, 241300.0, 120650.0, 0.1809, 155200.0, 0.0505, -0.0611]","[72600.0, 313900.0, 104633.3333, 0.0703, 66200.0, 0.038, 0.3004]","[49800.0, 363700.0, 119333.3333, 0.0401, 78100.0, 0.0139, 0.2819]","[33500.0, 397200.0, 51966.6667, 0.0222, 45700.0, 0.0071, -0.2204]","[37850.0, 435050.0, 40383.3333, 0.0293, 25900.0, 0.0154, 0.4033]","[70050.0, 505100.0, 47133.3333, 0.0345, 16300.0, 0.0151, -0.2057]","[82000.0, 587100.0, 63300.0, 0.047, 20300.0, 0.0242, -0.8138]","[80850.0, 667950.0, 77633.3333, 0.0421, 79700.0, 0.024, -0.3121]","[98400.0, 766350.0, 87083.3333, 0.0363, 36800.0, 0.0218, 0.373]","[17200.0, 783550.0, 65483.3333, 0.0211, 33100.0, 0.0127, 0.0149]","[15100.0, 798650.0, 43566.6667, 0.0112, 37600.0, 0.0091, 0.5051]","[8600.0, 807250.0, 13633.3333, 0.0254, 36900.0, 0.0229, -0.218]","[23600.0, 830850.0, 15766.6667, 0.0222, 17500.0, 0.0145, 0.1152]","[7300.0, 838150.0, 13166.6667, 0.0293, 13621.0, 0.0103, -0.4134]","[22500.0, 860650.0, 17800.0, 0.0287, 12200.0, 0.0164, -0.5986]","[22500.0, 883150.0, 17433.3333, 0.0329, 40650.0, 0.0177, 0.3358]","[17200.0, 900350.0, 20733.3333, 0.0182, 21200.0, 0.0114, -0.5026]","[47800.0, 948150.0, 29166.6667, 0.0271, 19200.0, 0.0134, -0.1453]","[31700.0, 979850.0, 32233.3333, 0.016, 30750.0, 0.0084, -0.1009]","[53900.0, 1033750.0, 44466.6667, 0.0502, 56700.0, 0.0254, -0.5738]","[38700.0, 1072450.0, 41433.3333, 0.0497, 209800.0, 0.0092, 0.6002]","[24700.0, 1097150.0, 39100.0, 0.031, 197500.0, 0.0175, -0.127]","[32500.0, 1129650.0, 31966.6667, 0.0334, 162700.0, 0.0057, 0.4301]","[50900.0, 1180550.0, 36033.3333, 0.0939, 141450.0, 0.0097, -0.3116]"
2020-05-26,"[25600.0, 25600.0, 25600.0, 0.0092, 6000.0, 3.6277, 0.1371]","[218251.0, 243851.0, 121925.5, 0.1744, 166200.0, 0.0689, 0.0376]","[159300.0, 403151.0, 134383.6667, 0.0689, 216142.0, 0.0236, 0.3486]","[56933.0, 460084.0, 144828.0, 0.0368, 102400.0, 0.0128, 0.4798]","[72951.0, 533035.0, 96394.6667, 0.0332, 23600.0, 0.0197, 0.6555]","[43500.0, 576535.0, 57794.6667, 0.0311, 48700.0, 0.0178, -0.5033]","[55400.0, 631935.0, 57283.6667, 0.0416, 31700.0, 0.0086, 0.3042]","[32100.0, 664035.0, 43666.6667, 0.0437, 39900.0, 0.0061, 0.1261]","[18300.0, 682335.0, 35266.6667, 0.0348, 15923.0, 0.008, 0.0409]","[57800.0, 740135.0, 36066.6667, 0.0442, 32100.0, 0.0284, -0.1866]","[81301.0, 821436.0, 52467.0, 0.0252, 33400.0, 0.0153, -0.313]","[7300.0, 828736.0, 48800.3333, 0.0102, 54277.0, 0.0086, -0.0423]","[19500.0, 848236.0, 36033.6667, 0.0193, 28100.0, 0.0082, 0.2256]","[105600.0, 953836.0, 44133.3333, 0.0364, 21151.0, 0.0229, 0.4005]","[72600.0, 1026436.0, 65900.0, 0.0354, 21000.0, 0.0172, -0.0574]","[50800.0, 1077236.0, 76333.3333, 0.034, 21000.0, 0.0174, -0.0091]","[23700.0, 1100936.0, 49033.3333, 0.0202, 39800.0, 0.0147, 0.4852]","[18100.0, 1119036.0, 30866.6667, 0.016, 12300.0, 0.0078, 0.4184]","[107000.0, 1226036.0, 49600.0, 0.0443, 27200.0, 0.0123, -0.3462]","[41400.0, 1267436.0, 55500.0, 0.0217, 12500.0, 0.0106, -0.0242]","[58900.0, 1326336.0, 69100.0, 0.0373, 43200.0, 0.0248, 0.2295]","[32500.0, 1358836.0, 44266.6667, 0.0483, 25900.0, 0.023, 0.1542]","[39400.0, 1398236.0, 43600.0, 0.0188, 37300.0, 0.0167, 0.127]","[40800.0, 1439036.0, 37566.6667, 0.0289, 63616.0, 0.008, 0.0414]","[83949.0, 1522985.0, 54716.3333, 0.0863, 101900.0, 0.0067, -0.0252]"
