date,bin0,bin1,bin2,bin3,bin4,bin5,bin6,bin7,bin8,bin9,bin10,bin11,bin12,bin13,bin14,bin15,bin16,bin17,bin18,bin19,bin20,bin21,bin22,bin23,bin24
2020-05-13,"[135700.0, 135700.0, 135700.0, 0.023, 135700.0, 3.6607, -0.3579]","[1247100.0, 1382800.0, 691400.0, 0.2116, 1247100.0, 0.0516, 0.2715]","[412200.0, 1795000.0, 598333.3333, 0.07, 412200.0, 0.023, 0.4426]","[306100.0, 2101100.0, 655133.3333, 0.0519, 306100.0, 0.0136, 0.0844]","[178107.0, 2279207.0, 298802.3333, 0.0302, 178107.0, 0.03, -0.0524]","[490000.0, 2769207.0, 324735.6667, 0.0832, 490000.0, 0.0458, 0.0392]","[436893.0, 3206100.0, 368333.3333, 0.0741, 436893.0, 0.0151, 0.4358]","[169600.0, 3375700.0, 365497.6667, 0.0288, 169600.0, 0.0154, -0.4462]","[72400.0, 3448100.0, 226297.6667, 0.0123, 72400.0, 0.0164, 0.101]","[286600.0, 3734700.0, 176200.0, 0.0486, 286600.0, 0.0157, -0.0585]","[282427.0, 4017127.0, 213809.0, 0.0479, 282427.0, 0.0133, -0.0413]","[154700.0, 4171827.0, 241242.3333, 0.0263, 154700.0, 0.0159, 0.399]","[51900.0, 4223727.0, 163009.0, 0.0088, 51900.0, 0.01, -0.1313]","[92981.0, 4316708.0, 99860.3333, 0.0158, 92981.0, 0.0186, 0.1064]","[170645.0, 4487353.0, 105175.3333, 0.029, 170645.0, 0.0442, 0.4266]","[140100.0, 4627453.0, 134575.3333, 0.0238, 140100.0, 0.0181, 0.5028]","[72800.0, 4700253.0, 127848.3333, 0.0124, 72800.0, 0.0142, -0.2638]","[126200.0, 4826453.0, 113033.3333, 0.0214, 126200.0, 0.0188, 0.646]","[191200.0, 5017653.0, 130066.6667, 0.0324, 191200.0, 0.0249, 0.0807]","[68300.0, 5085953.0, 128566.6667, 0.0116, 68300.0, 0.0164, 0.1926]","[78100.0, 5164053.0, 112533.3333, 0.0133, 78100.0, 0.0156, 0.3014]","[73500.0, 5237553.0, 73300.0, 0.0125, 73500.0, 0.0176, -0.1385]","[122500.0, 5360053.0, 91366.6667, 0.0208, 122500.0, 0.0112, 0.4973]","[160636.0, 5520689.0, 118878.6667, 0.0273, 160636.0, 0.0131, -0.162]","[371800.0, 5892489.0, 218312.0, 0.0631, 371800.0, 0.0077, -0.1761]"
2020-05-14,"[77100.0, 77100.0, 77100.0, 0.0227, 135700.0, 4.2573, 0.0373]","[503859.0, 580959.0, 290479.5, 0.1789, 1247100.0, 0.0249, 0.0944]","[334400.0, 915359.0, 305119.6667, 0.0835, 412200.0, 0.0203, -0.316]","[185700.0, 1101059.0, 341319.6667, 0.0529, 306100.0, 0.0222, 0.5268]","[126800.0, 1227859.0, 215633.3333, 0.0335, 178107.0, 0.0111, -0.0919]","[100300.0, 1328159.0, 137600.0, 0.0561, 490000.0, 0.0127, -0.698]","[77500.0, 1405659.0, 101533.3333, 0.0483, 436893.0, 0.0062, 0.0993]","[197500.0, 1603159.0, 125100.0, 0.043, 169600.0, 0.0317, -0.0087]","[125200.0, 1728359.0, 133400.0, 0.0243, 72400.0, 0.0146, -0.2507]","[54100.0, 1782459.0, 125600.0, 0.0322, 286600.0, 0.0153, 0.5504]","[44786.0, 1827245.0, 74695.3333, 0.0305, 282427.0, 0.0171, -0.2033]","[39900.0, 1867145.0, 46262.0, 0.0189, 154700.0, 0.0095, 0.5072]","[52800.0, 1919945.0, 45828.6667, 0.0121, 51900.0, 0.0071, 0.4504]","[74600.0, 1994545.0, 55766.6667, 0.0187, 92981.0, 0.0288, -0.7591]","[83100.0, 2077645.0, 70166.6667, 0.0265, 170645.0, 0.0112, 0.1644]","[74100.0, 2151745.0, 77266.6667, 0.0226, 140100.0, 0.0072, 0.4536]","[94000.0, 2245745.0, 83733.3333, 0.0198, 72800.0, 0.0098, 0.4701]","[30300.0, 2276045.0, 66133.3333, 0.0151, 126200.0, 0.0074, -0.2209]","[131700.0, 2407745.0, 85333.3333, 0.0353, 191200.0, 0.0082, 0.0395]","[78300.0, 2486045.0, 80100.0, 0.0171, 68300.0, 0.0198, 0.0453]","[94800.0, 2580845.0, 101600.0, 0.0204, 78100.0, 0.0108, -0.2547]","[77200.0, 2658045.0, 83433.3333, 0.0174, 73500.0, 0.008, 0.5791]","[127407.0, 2785452.0, 99802.3333, 0.0289, 122500.0, 0.021, -0.4879]","[162500.0, 2947952.0, 122369.0, 0.0372, 160636.0, 0.0109, 0.6506]","[500100.0, 3448052.0, 263335.6667, 0.1041, 371800.0, 0.0125, 0.2674]"
2020-05-15,"[26000.0, 26000.0, 26000.0, 0.0184, 135700.0, 3.9652, -0.036]","[193700.0, 219700.0, 109850.0, 0.1433, 1247100.0, 0.0227, 0.1572]","[145386.0, 365086.0, 121695.3333, 0.0737, 412200.0, 0.02, -0.4954]","[129800.0, 494886.0, 156295.3333, 0.0514, 306100.0, 0.0154, 0.4624]","[196469.0, 691355.0, 157218.3333, 0.0467, 178107.0, 0.0235, -0.1211]","[58300.0, 749655.0, 128189.6667, 0.0446, 490000.0, 0.0141, 0.1428]","[102200.0, 851855.0, 118989.6667, 0.0449, 436893.0, 0.0167, -0.4142]","[98300.0, 950155.0, 86266.6667, 0.0409, 169600.0, 0.0133, -0.1769]","[79100.0, 1029255.0, 93200.0, 0.026, 72400.0, 0.0064, 0.7073]","[58000.0, 1087255.0, 78466.6667, 0.0286, 286600.0, 0.011, 0.5867]","[104700.0, 1191955.0, 80600.0, 0.0333, 282427.0, 0.0114, -0.1245]","[39700.0, 1231655.0, 67466.6667, 0.0175, 154700.0, 0.0177, -0.362]","[22100.0, 1253755.0, 55500.0, 0.0108, 51900.0, 0.0114, -0.4294]","[82700.0, 1336455.0, 48166.6667, 0.0227, 92981.0, 0.0084, -0.2062]","[56300.0, 1392755.0, 53700.0, 0.0247, 170645.0, 0.0046, -0.4194]","[62500.0, 1455255.0, 67166.6667, 0.0228, 140100.0, 0.0049, 0.245]","[47400.0, 1502655.0, 55400.0, 0.0191, 72800.0, 0.0052, -0.3641]","[62500.0, 1565155.0, 57466.6667, 0.0178, 126200.0, 0.0048, -0.3524]","[41400.0, 1606555.0, 50433.3333, 0.0287, 191200.0, 0.0044, -0.7932]","[54100.0, 1660655.0, 52666.6667, 0.0181, 68300.0, 0.0064, 0.4161]","[120500.0, 1781155.0, 72000.0, 0.0285, 78100.0, 0.0077, -0.2983]","[162300.0, 1943455.0, 112300.0, 0.0317, 73500.0, 0.0067, 0.2757]","[143500.0, 2086955.0, 142100.0, 0.037, 122500.0, 0.0059, 0.0931]","[225800.0, 2312755.0, 177200.0, 0.0528, 160636.0, 0.0128, 0.1166]","[375300.0, 2688055.0, 248200.0, 0.1159, 371800.0, 0.02, -0.1122]"
2020-05-18,"[75200.0, 75200.0, 75200.0, 0.0181, 135700.0, 3.8086, 0.3769]","[1011500.0, 1086700.0, 543350.0, 0.173, 1247100.0, 0.0377, -0.1477]","[199900.0, 1286600.0, 428866.6667, 0.0702, 412200.0, 0.0286, 0.1245]","[142800.0, 1429400.0, 451400.0, 0.0482, 306100.0, 0.0196, -0.1626]","[153000.0, 1582400.0, 165233.3333, 0.0518, 178107.0, 0.0165, -0.135]","[115600.0, 1698000.0, 137133.3333, 0.0284, 490000.0, 0.0155, 0.2501]","[104800.0, 1802800.0, 124466.6667, 0.0306, 436893.0, 0.0083, 0.5628]","[39600.0, 1842400.0, 86666.6667, 0.0352, 169600.0, 0.0088, -0.1006]","[56000.0, 1898400.0, 66800.0, 0.0275, 72400.0, 0.0069, 0.4672]","[66105.0, 1964505.0, 53901.6667, 0.019, 286600.0, 0.0056, 0.3551]","[61200.0, 2025705.0, 61101.6667, 0.0234, 282427.0, 0.0082, -0.2608]","[39300.0, 2065005.0, 55535.0, 0.0127, 154700.0, 0.0065, -0.5249]","[124800.0, 2189805.0, 75100.0, 0.0202, 51900.0, 0.0044, -0.2796]","[77700.0, 2267505.0, 80600.0, 0.0252, 92981.0, 0.0062, -0.2856]","[69700.0, 2337205.0, 90733.3333, 0.0219, 170645.0, 0.0146, 0.265]","[48300.0, 2385505.0, 65233.3333, 0.0197, 140100.0, 0.0076, 0.6445]","[54569.0, 2440074.0, 57523.0, 0.0204, 72800.0, 0.0082, -0.0241]","[25048.0, 2465122.0, 42639.0, 0.0132, 126200.0, 0.0061, -0.2369]","[105683.0, 2570805.0, 61766.6667, 0.0283, 191200.0, 0.0144, 0.5606]","[61200.0, 2632005.0, 63977.0, 0.0203, 68300.0, 0.0133, 0.5349]","[89369.0, 2721374.0, 85417.3333, 0.033, 78100.0, 0.0149, -0.1403]","[88900.0, 2810274.0, 79823.0, 0.0364, 73500.0, 0.0232, -0.1267]","[175600.0, 2985874.0, 117956.3333, 0.0475, 122500.0, 0.0379, -0.0798]","[208500.0, 3194374.0, 157666.6667, 0.0644, 160636.0, 0.0222, 0.0101]","[168800.0, 3363174.0, 184300.0, 0.1116, 371800.0, 0.0075, -0.0022]"
2020-05-19,"[28400.0, 28400.0, 28400.0, 0.0144, 135700.0, 4.3804, 0.2887]","[308500.0, 336900.0, 168450.0, 0.1643, 1247100.0, 0.0185, 0.501]","[142700.0, 479600.0, 159866.6667, 0.0564, 412200.0, 0.0113, 0.3096]","[76100.0, 555700.0, 175766.6667, 0.0401, 306100.0, 0.0114, 0.19]","[134000.0, 689700.0, 117600.0, 0.0569, 178107.0, 0.0258, -0.2921]","[165000.0, 854700.0, 125033.3333, 0.0401, 490000.0, 0.0243, -0.7694]","[77294.0, 931994.0, 125431.3333, 0.0331, 436893.0, 0.0168, 0.1093]","[80300.0, 1012294.0, 107531.3333, 0.0265, 169600.0, 0.0248, -0.314]","[45600.0, 1057894.0, 67731.3333, 0.0213, 72400.0, 0.0199, -0.5535]","[95500.0, 1153394.0, 73800.0, 0.0261, 286600.0, 0.0183, -0.0709]","[44500.0, 1197894.0, 61866.6667, 0.0248, 282427.0, 0.0162, -0.1407]","[23200.0, 1221094.0, 54400.0, 0.0118, 154700.0, 0.006, 0.5907]","[43200.0, 1264294.0, 36966.6667, 0.0207, 51900.0, 0.0195, 0.192]","[71100.0, 1335394.0, 45833.3333, 0.0272, 92981.0, 0.018, 0.2279]","[65000.0, 1400394.0, 59766.6667, 0.0223, 170645.0, 0.0159, 0.2756]","[39900.0, 1440294.0, 58666.6667, 0.0177, 140100.0, 0.0169, -0.1424]","[54100.0, 1494394.0, 53000.0, 0.0183, 72800.0, 0.0104, 0.2339]","[73800.0, 1568194.0, 55933.3333, 0.0198, 126200.0, 0.016, -0.4572]","[271200.0, 1839394.0, 133033.3333, 0.0508, 191200.0, 0.0115, 0.0035]","[130200.0, 1969594.0, 158400.0, 0.0297, 68300.0, 0.014, -0.1567]","[64788.0, 2034382.0, 155396.0, 0.0322, 78100.0, 0.0058, -0.169]","[126600.0, 2160982.0, 107196.0, 0.0454, 73500.0, 0.0108, -0.3341]","[88112.0, 2249094.0, 93166.6667, 0.0466, 122500.0, 0.0099, -0.266]","[120800.0, 2369894.0, 111837.3333, 0.0643, 160636.0, 0.0083, -0.3661]","[197886.0, 2567780.0, 135599.3333, 0.089, 371800.0, 0.009, 0.2959]"
2020-05-20,"[9400.0, 9400.0, 9400.0, 0.0115, 135700.0, 4.5219, 0.0951]","[462800.0, 472200.0, 236100.0, 0.1588, 1247100.0, 0.027, 0.4426]","[154500.0, 626700.0, 208900.0, 0.0445, 412200.0, 0.0164, 0.0844]","[129900.0, 756600.0, 249066.6667, 0.0292, 306100.0, 0.0162, -0.2322]","[136900.0, 893500.0, 140433.3333, 0.038, 178107.0, 0.0098, -0.194]","[183700.0, 1077200.0, 150166.6667, 0.0402, 490000.0, 0.017, -0.1086]","[157145.0, 1234345.0, 159248.3333, 0.0267, 436893.0, 0.0131, 0.4415]","[179600.0, 1413945.0, 173481.6667, 0.0215, 169600.0, 0.0268, -0.1433]","[82700.0, 1496645.0, 139815.0, 0.0148, 72400.0, 0.0084, 0.3802]","[57200.0, 1553845.0, 106500.0, 0.0212, 286600.0, 0.0191, -0.1206]","[55655.0, 1609500.0, 65185.0, 0.0141, 282427.0, 0.0203, 0.4224]","[86000.0, 1695500.0, 66285.0, 0.0104, 154700.0, 0.0094, 0.5929]","[56200.0, 1751700.0, 65951.6667, 0.0202, 51900.0, 0.0052, 0.8298]","[47300.0, 1799000.0, 63166.6667, 0.0188, 92981.0, 0.0059, 0.2028]","[50800.0, 1849800.0, 51433.3333, 0.0174, 170645.0, 0.0048, 0.0718]","[45012.0, 1894812.0, 47704.0, 0.0118, 140100.0, 0.0118, -0.14]","[40200.0, 1935012.0, 45337.3333, 0.014, 72800.0, 0.0076, -0.456]","[80300.0, 2015312.0, 55170.6667, 0.0153, 126200.0, 0.011, -0.4924]","[487091.0, 2502403.0, 202530.3333, 0.0652, 191200.0, 0.0873, 0.0065]","[363900.0, 2866303.0, 310430.3333, 0.0376, 68300.0, 0.0326, -0.0905]","[2301323.0, 5167626.0, 1050771.3333, 0.1095, 78100.0, 0.1832, -0.383]","[666248.0, 5833874.0, 1110490.3333, 0.0519, 73500.0, 0.0327, -0.3125]","[333300.0, 6167174.0, 1100290.3333, 0.0422, 122500.0, 0.0204, 0.1672]","[1021200.0, 7188374.0, 673582.6667, 0.0773, 160636.0, 0.0536, 0.4128]","[1128700.0, 8317074.0, 827733.3333, 0.0877, 371800.0, 0.0245, -0.1471]"
2020-05-21,"[73000.0, 73000.0, 73000.0, 0.0064, 77100.0, 3.7355, 0.092]","[1638894.0, 1711894.0, 855947.0, 0.1121, 503859.0, 0.0632, 0.0258]","[1537793.0, 3249687.0, 1083229.0, 0.0749, 334400.0, 0.0474, -0.0785]","[807459.0, 4057146.0, 1328048.6667, 0.0414, 185700.0, 0.0291, -0.2343]","[549932.0, 4607078.0, 965061.3333, 0.0408, 126800.0, 0.0194, 0.1435]","[496900.0, 5103978.0, 618097.0, 0.045, 100300.0, 0.0195, -0.3601]","[496791.0, 5600769.0, 514541.0, 0.0325, 77500.0, 0.0147, -0.4117]","[504200.0, 6104969.0, 499297.0, 0.0341, 197500.0, 0.0448, 0.4233]","[283200.0, 6388169.0, 428063.6667, 0.0185, 125200.0, 0.0284, 0.4764]","[142600.0, 6530769.0, 310000.0, 0.0193, 54100.0, 0.0163, 0.5537]","[138500.0, 6669269.0, 188100.0, 0.0125, 44786.0, 0.0098, -0.0363]","[405055.2, 7074324.2, 228718.4, 0.0197, 39900.0, 0.0573, 0.1735]","[245600.0, 7319924.2, 263051.7333, 0.0159, 52800.0, 0.02, 0.0814]","[128900.0, 7448824.2, 259851.7333, 0.0153, 74600.0, 0.0123, 0.2445]","[205500.0, 7654324.2, 193333.3333, 0.0172, 83100.0, 0.0093, 0.4955]","[325941.6, 7980265.8, 220113.8667, 0.0176, 74100.0, 0.0294, -0.0006]","[276807.0, 8257072.8, 269416.2, 0.0177, 94000.0, 0.0315, -0.1772]","[223441.1, 8480513.9, 275396.5667, 0.0201, 30300.0, 0.0242, 0.0731]","[164773.9, 8645287.8, 221674.0, 0.0601, 131700.0, 0.0162, -0.0874]","[184500.0, 8829787.8, 190905.0, 0.0375, 78300.0, 0.0216, -0.0407]","[233186.2, 9062974.0, 194153.3667, 0.1082, 94800.0, 0.0426, -0.0387]","[134600.0, 9197574.0, 184095.4, 0.0475, 77200.0, 0.0191, -0.1029]","[249000.0, 9446574.0, 205595.4, 0.0329, 127407.0, 0.0164, 0.3909]","[332100.0, 9778674.0, 238566.6667, 0.0674, 162500.0, 0.0217, -0.0578]","[440548.0, 10219222.0, 340549.3333, 0.0853, 500100.0, 0.0211, 0.0885]"
2020-05-22,"[48972.4, 48972.4, 48972.4, 0.0044, 26000.0, 3.9536, 0.443]","[792331.0, 841303.4, 420651.7, 0.0983, 193700.0, 0.0886, 0.1423]","[453887.1, 1295190.5, 431730.1667, 0.0714, 145386.0, 0.0378, 0.0354]","[215900.0, 1511090.5, 487372.7, 0.0387, 129800.0, 0.0325, -0.1099]","[213800.0, 1724890.5, 294529.0333, 0.0305, 196469.0, 0.0165, 0.3705]","[326900.0, 2051790.5, 252200.0, 0.0344, 58300.0, 0.0228, 0.1506]","[582893.1, 2634683.6, 374531.0333, 0.0418, 102200.0, 0.0461, -0.0431]","[314500.0, 2949183.6, 408097.7, 0.0341, 98300.0, 0.0552, 0.1148]","[73200.0, 3022383.6, 323531.0333, 0.015, 79100.0, 0.0318, 0.422]","[84600.0, 3106983.6, 157433.3333, 0.0098, 58000.0, 0.0111, 0.0143]","[68500.0, 3175483.6, 75433.3333, 0.009, 104700.0, 0.0166, 0.0296]","[180100.0, 3355583.6, 111066.6667, 0.0226, 39700.0, 0.0325, 0.0945]","[66700.0, 3422283.6, 105100.0, 0.0125, 22100.0, 0.0191, -0.3372]","[148900.0, 3571183.6, 131900.0, 0.011, 82700.0, 0.0267, 0.4318]","[258000.0, 3829183.6, 157866.6667, 0.0173, 56300.0, 0.0226, -0.262]","[722458.5, 4551642.1, 376452.8333, 0.0364, 62500.0, 0.0791, -0.062]","[282100.0, 4833742.1, 420852.8333, 0.02, 47400.0, 0.0883, -0.063]","[86600.0, 4920342.1, 363719.5, 0.0134, 62500.0, 0.0344, 0.0364]","[189036.0, 5109378.1, 185912.0, 0.0312, 41400.0, 0.0163, 0.0491]","[337307.0, 5446685.1, 204314.3333, 0.0318, 54100.0, 0.0425, -0.2979]","[127900.0, 5574585.1, 218081.0, 0.1041, 120500.0, 0.0378, 0.1832]","[76600.0, 5651185.1, 180602.3333, 0.0336, 162300.0, 0.0152, -0.1683]","[2227855.1, 7879040.2, 810785.0333, 0.0954, 143500.0, 0.4168, 0.1603]","[1252695.9, 9131736.1, 1185717.0, 0.0933, 225800.0, 0.0812, -0.1394]","[917200.0, 10048936.1, 1465917.0, 0.09, 375300.0, 0.024, 0.1572]"
2020-05-25,"[58399.9, 58399.9, 58399.9, 0.0053, 75200.0, 3.6198, 0.0662]","[891600.0, 949999.9, 474999.95, 0.0999, 1011500.0, 0.0579, -0.0495]","[436800.0, 1386799.9, 462266.6333, 0.0751, 199900.0, 0.0692, 0.1282]","[1182400.0, 2569199.9, 836933.3333, 0.0602, 142800.0, 0.0396, -0.0028]","[513048.0, 3082247.9, 710749.3333, 0.0366, 153000.0, 0.0205, 0.1575]","[616800.0, 3699047.9, 770749.3333, 0.041, 115600.0, 0.0355, -0.0873]","[2106129.6, 5805177.5, 1078659.2, 0.0831, 104800.0, 0.1227, 0.0344]","[664500.0, 6469677.5, 1129143.2, 0.0419, 39600.0, 0.0596, 0.3507]","[360600.0, 6830277.5, 1043743.2, 0.0198, 56000.0, 0.0227, 0.1009]","[467409.0, 7297686.5, 497503.0, 0.018, 66105.0, 0.0465, -0.0121]","[196700.0, 7494386.5, 341569.6667, 0.0112, 61200.0, 0.0238, 0.2211]","[215500.0, 7709886.5, 293203.0, 0.0241, 39300.0, 0.0193, 0.2]","[259500.0, 7969386.5, 223900.0, 0.0161, 124800.0, 0.0204, -0.129]","[566810.2, 8536196.7, 347270.0667, 0.0219, 77700.0, 0.0256, -0.5256]","[259579.0, 8795775.7, 361963.0667, 0.0211, 69700.0, 0.0122, 0.0235]","[358521.0, 9154296.7, 394970.0667, 0.0427, 48300.0, 0.0222, 0.2362]","[240100.0, 9394396.7, 286066.6667, 0.0238, 54569.0, 0.0249, 0.1509]","[193700.0, 9588096.7, 264107.0, 0.0145, 25048.0, 0.0177, -0.2858]","[400600.0, 9988696.7, 278133.3333, 0.0207, 105683.0, 0.0463, 0.3409]","[245600.0, 10234296.7, 279966.6667, 0.0227, 61200.0, 0.0107, -0.59]","[1539083.3, 11773380.0, 728427.7667, 0.0466, 89369.0, 0.1143, -0.125]","[654300.0, 12427680.0, 812994.4333, 0.0217, 88900.0, 0.0481, 0.068]","[561440.9, 12989120.9, 918274.7333, 0.0947, 175600.0, 0.0327, 0.0548]","[885124.1, 13874245.0, 700288.3333, 0.0724, 208500.0, 0.0259, -0.1412]","[895000.0, 14769245.0, 780521.6667, 0.065, 168800.0, 0.0388, 0.0206]"
2020-05-26,"[69800.0, 69800.0, 69800.0, 0.0054, 28400.0, 4.0117, -0.4496]","[1650427.7, 1720227.7, 860113.85, 0.1047, 308500.0, 0.0542, 0.4205]","[772500.0, 2492727.7, 830909.2333, 0.0522, 142700.0, 0.041, -0.0361]","[446318.0, 2939045.7, 956415.2333, 0.0496, 76100.0, 0.037, 0.0727]","[266788.0, 3205833.7, 495202.0, 0.0281, 134000.0, 0.0216, -0.2035]","[360300.0, 3566133.7, 357802.0, 0.0375, 165000.0, 0.0242, -0.0273]","[524920.0, 4091053.7, 384002.6667, 0.0854, 77294.0, 0.0323, -0.0175]","[242748.0, 4333801.7, 375989.3333, 0.034, 80300.0, 0.0063, 0.5443]","[686814.0, 5020615.7, 484827.3333, 0.0348, 45600.0, 0.0295, 0.5587]","[222568.0, 5243183.7, 384043.3333, 0.0212, 95500.0, 0.0346, 0.3654]","[285586.2, 5528769.9, 398322.7333, 0.0168, 44500.0, 0.0274, 0.0973]","[198000.0, 5726769.9, 235384.7333, 0.0178, 23200.0, 0.0198, -0.2331]","[298400.0, 6025169.9, 260662.0667, 0.0186, 43200.0, 0.039, -0.3803]","[276700.0, 6301869.9, 257700.0, 0.0275, 71100.0, 0.0152, 0.2918]","[91900.0, 6393769.9, 222333.3333, 0.0177, 65000.0, 0.0152, 0.0029]","[158216.0, 6551985.9, 175605.3333, 0.0376, 39900.0, 0.0123, -0.5617]","[230884.0, 6782869.9, 160333.3333, 0.0229, 54100.0, 0.023, 0.4114]","[220800.0, 7003669.9, 203300.0, 0.015, 73800.0, 0.0182, -0.2673]","[279700.0, 7283369.9, 243794.6667, 0.0252, 271200.0, 0.0323, -0.2738]","[277600.0, 7560969.9, 259366.6667, 0.0265, 130200.0, 0.0138, -0.0747]","[173600.0, 7734569.9, 243633.3333, 0.0451, 64788.0, 0.0092, -0.0566]","[188700.0, 7923269.9, 213300.0, 0.024, 126600.0, 0.0122, 0.3544]","[328300.0, 8251569.9, 230200.0, 0.0982, 88112.0, 0.02, 0.1118]","[509200.0, 8760769.9, 342066.6667, 0.0795, 120800.0, 0.037, -0.134]","[679000.0, 9439769.9, 505500.0, 0.0746, 197886.0, 0.0234, -0.1034]"
