date,bin1,bin2,bin3,bin4,bin5,bin6,bin7,bin8,bin9,bin10,bin11,bin12,bin13,bin14,bin15,bin16,bin17,bin18,bin19,bin20,bin21,bin22,bin23,bin24
2020-05-13,"[-0.03, -0.03, -0.03, 0.0084, -0.03, -0.1934, 1.2871]","[0.7231, 0.6932, 0.3466, -0.2035, 0.7231, -0.1609, -1.0301]","[0.0866, 0.7798, 0.2599, -0.0244, 0.0866, -0.2005, -0.6669]","[-0.183, 0.5969, 0.2089, 0.0515, -0.183, -0.2006, -0.8525]","[-0.1044, 0.4924, -0.0669, 0.0294, -0.1044, -0.1826, 0.5227]","[-0.2517, 0.2408, -0.1797, 0.0708, -0.2517, -0.2006, 1.2489]","[-0.2406, 0.0001, -0.1989, 0.0677, -0.2406, -0.2058, -1.047]","[-0.1343, -0.1342, -0.2089, 0.0378, -0.1343, -0.1959, -0.3239]","[-0.0819, -0.2161, -0.1523, 0.023, -0.0819, -0.1926, -0.0004]","[-0.1506, -0.3667, -0.1223, 0.0424, -0.1506, -0.1908, 0.2874]","[-0.3323, -0.699, -0.1883, 0.0935, -0.3323, -0.2031, -1.9348]","[-0.3364, -1.0353, -0.2731, 0.0946, -0.3364, -0.2035, 1.1192]","[-0.2685, -1.3038, -0.3124, 0.0755, -0.2685, -0.1985, -0.7069]","[-0.2635, -1.5673, -0.2895, 0.0741, -0.2635, -0.1985, 0.1917]","[-0.3241, -1.8914, -0.2854, 0.0912, -0.3241, -0.2008, 0.1642]","[-0.336, -2.2274, -0.3079, 0.0945, -0.336, -0.2031, -0.4916]","[-0.2316, -2.459, -0.2972, 0.0652, -0.2316, -0.201, 0.1763]","[-0.2296, -2.6886, -0.2657, 0.0646, -0.2296, -0.2034, 0.2145]","[-0.2824, -2.971, -0.2479, 0.0794, -0.2824, -0.2007, -0.0332]","[-0.2284, -3.1993, -0.2468, 0.0642, -0.2284, -0.2045, -0.5208]","[-0.1032, -3.3025, -0.2046, 0.029, -0.1032, -0.2008, 0.0953]","[-0.174, -3.4765, -0.1685, 0.0489, -0.174, -0.2034, 0.3263]","[-0.0263, -3.5027, -0.1011, 0.0074, -0.0263, -0.2022, 0.005]","[-0.0516, -3.5544, -0.084, 0.0145, -0.0516, -0.203, 0.4967]"
2020-05-14,"[-0.1359, -0.1359, -0.1359, 0.0635, -0.03, -0.1901, 0.4972]","[0.265, 0.1291, 0.0645, -0.2173, 0.7231, -0.1989, 0.2753]","[-0.0872, 0.0418, 0.0139, 0.0259, 0.0866, -0.1986, -0.0514]","[0.1828, 0.2246, 0.1202, -0.054, -0.183, -0.2004, -1.6382]","[0.3546, 0.5792, 0.15, -0.1399, -0.1044, -0.1991, -0.2358]","[-0.1126, 0.4666, 0.1416, 0.0845, -0.2517, -0.2027, 0.4183]","[-0.1195, 0.347, 0.0408, 0.086, -0.2406, -0.201, -1.8215]","[0.0969, 0.4439, -0.0451, -0.0233, -0.1343, -0.1996, 0.5753]","[-0.1486, 0.2953, -0.0571, 0.0763, -0.0819, -0.1997, 0.5342]","[-0.0643, 0.231, -0.0387, 0.0492, -0.1506, -0.1956, 1.4631]","[-0.1875, 0.0435, -0.1335, 0.1285, -0.3323, -0.1984, 0.2639]","[-0.2345, -0.191, -0.1621, 0.1496, -0.3364, -0.1989, -0.1441]","[-0.3381, -0.5291, -0.2533, 0.1852, -0.2685, -0.1958, 1.6939]","[-0.3466, -0.8757, -0.3064, 0.1882, -0.2635, -0.2031, -0.9783]","[-0.1522, -1.0279, -0.279, 0.112, -0.3241, -0.1969, 0.4902]","[-0.1723, -1.2002, -0.2237, 0.1224, -0.336, -0.2029, -0.5396]","[-0.1605, -1.3606, -0.1617, 0.1026, -0.2316, -0.2013, 0.5335]","[-0.2239, -1.5845, -0.1855, 0.1299, -0.2296, -0.2018, -0.3261]","[-0.113, -1.6975, -0.1658, 0.089, -0.2824, -0.2037, 1.1317]","[-0.2607, -1.9582, -0.1992, 0.1458, -0.2284, -0.203, -0.3542]","[-0.3466, -2.3048, -0.2401, 0.1657, -0.1032, -0.2035, 0.5687]","[-0.1801, -2.4849, -0.2625, 0.103, -0.174, -0.203, -1.0184]","[-0.0169, -2.5017, -0.1812, 0.0111, -0.0263, -0.1976, 1.9736]","[1.3552, -1.1466, 0.3861, -0.5837, -0.0516, -0.1965, 0.1413]"
2020-05-15,"[-0.1621, -0.1621, -0.1621, 0.0603, -0.03, -0.1921, 0.2014]","[-0.0999, -0.262, -0.131, -0.1338, 0.7231, -0.2, -0.269]","[-0.1073, -0.3693, -0.1231, 0.0292, 0.0866, -0.1936, 1.3967]","[-0.1044, -0.4737, -0.1039, -0.0244, -0.183, -0.2005, -0.2307]","[0.0821, -0.3916, -0.0432, -0.1024, -0.1044, -0.1926, -0.0703]","[-0.1318, -0.5234, -0.0514, 0.071, -0.2517, -0.2003, 0.3768]","[0.3943, -0.1291, 0.1149, 0.0135, -0.2406, -0.1923, 0.6486]","[0.0474, -0.0818, 0.1033, -0.0208, -0.1343, -0.1952, -1.373]","[-0.0901, -0.1719, 0.1172, 0.0609, -0.0819, -0.191, 1.7465]","[-0.318, -0.4898, -0.1202, 0.0681, -0.1506, -0.203, 1.0094]","[-0.338, -0.8278, -0.2487, 0.1232, -0.3323, -0.2004, 1.0425]","[-0.2918, -1.1196, -0.3159, 0.1321, -0.3364, -0.1985, 0.2634]","[-0.0913, -1.2109, -0.2404, 0.1336, -0.2685, -0.1948, 0.3278]","[-0.2349, -1.4458, -0.206, 0.1516, -0.2635, -0.1907, 0.1766]","[-0.2378, -1.6836, -0.188, 0.1011, -0.3241, -0.2009, 0.0144]","[-0.2357, -1.9193, -0.2361, 0.1078, -0.336, -0.2039, 1.407]","[-0.2157, -2.135, -0.2297, 0.0923, -0.2316, -0.2033, 0.1939]","[-0.2644, -2.3994, -0.2386, 0.116, -0.2296, -0.2001, 0.4932]","[-0.1997, -2.5991, -0.2266, 0.0815, -0.2824, -0.2032, 0.7543]","[-0.3098, -2.9089, -0.258, 0.1316, -0.2284, -0.1985, -1.2968]","[-0.3, -3.2088, -0.2698, 0.1438, -0.1032, -0.203, 1.0517]","[-0.2185, -3.4274, -0.2761, 0.0929, -0.174, -0.2022, 1.6811]","[0.3652, -3.0622, -0.0511, -0.0332, -0.0263, -0.1874, -1.1622]","[0.0617, -3.0005, 0.0694, -0.396, -0.0516, -0.1994, 0.9103]"
2020-05-18,"[-0.1065, -0.1065, -0.1065, -0.0706, -0.03, -0.1759, -0.5088]","[0.103, -0.0035, -0.0017, 0.058, 0.7231, -0.1832, 0.8265]","[0.4773, 0.4738, 0.1579, 0.6116, 0.0866, -0.1826, -0.1673]","[-0.1146, 0.3592, 0.1552, -0.1795, -0.183, -0.201, -1.0057]","[-0.0422, 0.3169, 0.1068, -0.163, -0.1044, -0.1952, 0.4386]","[-0.1686, 0.1483, -0.1085, -0.1555, -0.2517, -0.2017, 2.0881]","[0.0797, 0.228, -0.0437, 0.0868, -0.2406, -0.201, 1.773]","[0.6299, 0.8579, 0.1803, 0.7245, -0.1343, -0.1646, 0.605]","[0.319, 1.1768, 0.3428, 0.437, -0.0819, -0.1855, 0.0548]","[-0.0296, 1.1473, 0.3064, 0.0185, -0.1506, -0.2046, 0.5069]","[-0.1654, 0.9819, 0.0414, -0.1069, -0.3323, -0.2022, -0.4897]","[0.9702, 1.9521, 0.2584, 1.268, -0.3364, -0.1648, -0.8746]","[-0.2865, 1.6657, 0.1728, -0.2362, -0.2685, -0.1924, 0.5314]","[-0.3147, 1.351, 0.123, -0.2518, -0.2635, -0.1906, -0.6744]","[-0.2492, 1.1018, -0.2835, -0.2292, -0.3241, -0.204, -0.3427]","[-0.183, 0.9188, -0.249, -0.1439, -0.336, -0.2025, -0.985]","[-0.2341, 0.6847, -0.2221, -0.2111, -0.2316, -0.1958, -1.3133]","[-0.3237, 0.3611, -0.2469, -0.295, -0.2296, -0.2006, -0.1546]","[-0.1838, 0.1773, -0.2472, -0.1661, -0.2824, -0.1998, -0.5605]","[-0.2198, -0.0425, -0.2424, -0.1542, -0.2284, -0.2034, 0.0359]","[-0.1588, -0.2013, -0.1875, -0.057, -0.1032, -0.1969, 0.3484]","[0.265, 0.0637, -0.0379, 0.3955, -0.174, -0.1985, 1.4438]","[0.1165, 0.1802, 0.0742, 0.1045, -0.0263, -0.1952, -0.2923]","[0.0969, 0.277, 0.1594, -0.2843, -0.0516, -0.2004, 1.1012]"
2020-05-19,"[0.0883, 0.0883, 0.0883, -0.1194, -0.03, -0.1936, 0.2154]","[0.4532, 0.5414, 0.2707, 0.0872, 0.7231, -0.16, 0.2026]","[0.8258, 1.3672, 0.4557, 0.499, 0.0866, -0.1835, 1.0379]","[-0.1903, 1.1769, 0.3629, -0.1062, -0.183, -0.203, 1.5809]","[-0.1617, 1.0152, 0.1579, -0.0429, -0.1044, -0.1853, -0.319]","[-0.2173, 0.7979, -0.1898, -0.1653, -0.2517, -0.199, 1.4063]","[-0.3208, 0.4771, -0.2333, 0.086, -0.2406, -0.2031, -0.9143]","[-0.2185, 0.2586, -0.2522, 0.7757, -0.1343, -0.194, -1.2189]","[-0.2014, 0.0572, -0.2469, 0.4151, -0.0819, -0.2013, 0.6522]","[-0.1519, -0.0947, -0.1906, 0.0158, -0.1506, -0.1967, -1.4597]","[-0.3061, -0.4008, -0.2198, -0.1291, -0.3323, -0.2008, 0.951]","[-0.2165, -0.6173, -0.2248, 1.2227, -0.3364, -0.2034, -1.174]","[-0.115, -0.7323, -0.2125, -0.3224, -0.2685, -0.2009, -2.1237]","[-0.3544, -1.0867, -0.2286, -0.3151, -0.2635, -0.1996, -0.3298]","[-0.3139, -1.4005, -0.2611, -0.2403, -0.3241, -0.2022, 1.3457]","[-0.3597, -1.7602, -0.3426, -0.156, -0.336, -0.2035, 0.2174]","[0.031, -1.7292, -0.2142, -0.261, -0.2316, -0.1943, 1.0359]","[-0.3801, -2.1093, -0.2363, -0.32, -0.2296, -0.2037, -0.0347]","[-0.1371, -2.2465, -0.1621, -0.1845, -0.2824, -0.1961, -0.5946]","[-0.194, -2.4405, -0.2371, -0.2095, -0.2284, -0.1941, 0.1326]","[-0.2128, -2.6533, -0.1813, -0.1353, -0.1032, -0.1995, -0.7955]","[-0.3364, -2.9897, -0.2477, 0.3787, -0.174, -0.1929, -1.6766]","[-0.2762, -3.2659, -0.2751, 0.1288, -0.0263, -0.1976, -1.5611]","[0.1099, -3.1559, -0.1675, 0.0981, -0.0516, -0.1987, -0.0737]"
2020-05-20,"[0.4323, 0.4323, 0.4323, -0.1723, -0.03, -0.1802, -0.8761]","[-0.2971, 0.1352, 0.0676, 0.1, 0.7231, -0.1949, 0.6016]","[-0.2415, -0.1062, -0.0354, 0.5065, 0.0866, -0.1877, 0.3766]","[-0.21, -0.3162, -0.2495, -0.1009, -0.183, -0.1948, -0.3018]","[-0.1558, -0.472, -0.2024, -0.0212, -0.1044, -0.1883, -0.028]","[-0.25, -0.7221, -0.2053, -0.1598, -0.2517, -0.1979, -0.1978]","[-0.0177, -0.7397, -0.1412, 0.1312, -0.2406, -0.1971, -1.7485]","[0.4217, -0.3181, 0.0513, 0.747, -0.1343, -0.1796, -0.8703]","[0.1386, -0.1795, 0.1808, 0.3939, -0.0819, -0.1776, 1.7911]","[-0.2079, -0.3874, 0.1174, -0.0028, -0.1506, -0.1974, -0.4629]","[-0.349, -0.7365, -0.1395, -0.1385, -0.3323, -0.1979, -0.8398]","[-0.2836, -1.02, -0.2802, 1.2132, -0.3364, -0.1959, 0.336]","[-0.246, -1.266, -0.2929, -0.3127, -0.2685, -0.191, -0.8704]","[-0.34, -1.606, -0.2899, -0.3138, -0.2635, -0.2007, -0.9023]","[-0.2881, -1.8941, -0.2914, -0.2435, -0.3241, -0.1983, 0.4728]","[-0.3364, -2.2305, -0.3215, -0.155, -0.336, -0.1991, 1.3751]","[-0.3417, -2.5722, -0.322, -0.2574, -0.2316, -0.1961, -1.0289]","[-0.3437, -2.9159, -0.3406, -0.3216, -0.2296, -0.2042, -0.2268]","[-0.2529, -3.1688, -0.3128, -0.1863, -0.2824, -0.2025, 1.7064]","[-0.1825, -3.3513, -0.2597, -0.2292, -0.2284, -0.2007, -1.0176]","[-0.345, -3.6963, -0.2601, -0.1408, -0.1032, -0.2019, -1.0595]","[-0.1895, -3.8858, -0.239, 0.3696, -0.174, -0.1967, -1.7414]","[-0.2112, -4.097, -0.2485, 0.1864, -0.0263, -0.1883, -1.3723]","[-0.039, -4.1359, -0.1465, 0.1081, -0.0516, -0.1999, -1.1488]"
2020-05-21,"[-0.1261, -0.1261, -0.1261, -0.0337, -0.1359, -0.1804, 0.8041]","[-0.0979, -0.224, -0.112, -0.0158, 0.265, -0.1887, -0.5999]","[-0.0377, -0.2617, -0.0872, -0.0646, -0.0872, -0.1864, -0.8705]","[0.067, -0.1947, -0.0229, 0.0314, 0.1828, -0.1935, -0.1763]","[0.1361, -0.0586, 0.0551, 0.0183, 0.3546, -0.1951, -0.7943]","[-0.2222, -0.2808, -0.0064, 0.0616, -0.1126, -0.2015, 1.6167]","[-0.3155, -0.5963, -0.1339, 0.0616, -0.1195, -0.1832, 0.6625]","[-0.3065, -0.9028, -0.2814, 0.0146, 0.0969, -0.1973, 0.1199]","[-0.1449, -1.0477, -0.2556, 0.0222, -0.1486, -0.1996, 0.889]","[-0.2693, -1.317, -0.2402, 0.0552, -0.0643, -0.2018, 0.2553]","[-0.2611, -1.5781, -0.2251, 0.0822, -0.1875, -0.1975, -1.0568]","[-0.2685, -1.8465, -0.2663, 0.0681, -0.2345, -0.2031, -1.2923]","[-0.1592, -2.0058, -0.2296, 0.0452, -0.3381, -0.1943, 0.9796]","[-0.2615, -2.2673, -0.2297, 0.0866, -0.3466, -0.2032, 0.3504]","[-0.2038, -2.4711, -0.2082, 0.0733, -0.1522, -0.197, 0.3407]","[-0.0717, -2.5428, -0.179, 0.0711, -0.1723, -0.2007, 0.0175]","[-0.2202, -2.7629, -0.1652, 0.0426, -0.1605, -0.198, 0.1643]","[-0.2795, -3.0424, -0.1905, 0.0911, -0.2239, -0.1989, -1.6093]","[-0.2885, -3.3309, -0.2627, 0.0589, -0.113, -0.2009, 0.2516]","[-0.2157, -3.5466, -0.2612, 0.0531, -0.2607, -0.2015, -0.2777]","[-0.2316, -3.7783, -0.2453, 0.0695, -0.3466, -0.2026, -0.4439]","[-0.167, -3.9453, -0.2048, 0.0647, -0.1801, -0.1976, 1.4583]","[0.1026, -3.8427, -0.0987, 0.0377, -0.0169, -0.2023, -1.405]","[-0.1641, -4.0068, -0.0762, 0.0052, 1.3552, -0.203, 0.2005]"
2020-05-22,"[-0.1985, -0.1985, -0.1985, 0.0076, -0.1621, -0.1924, 1.7216]","[-0.0905, -0.289, -0.1445, 0.0466, -0.0999, -0.1849, 0.8416]","[0.0355, -0.2535, -0.0845, 0.0169, -0.1073, -0.1995, 0.8692]","[0.0257, -0.2278, -0.0098, 0.0072, -0.1044, -0.1934, 0.5889]","[0.7759, 0.5481, 0.279, -0.1236, 0.0821, -0.1889, 0.3549]","[0.0793, 0.6273, 0.2936, 0.0259, -0.1318, -0.1911, 0.6108]","[0.1772, 0.8045, 0.3441, -0.0008, 0.3943, -0.1984, 0.7072]","[-0.1576, 0.6469, 0.033, 0.0169, 0.0474, -0.1941, -0.7443]","[-0.3654, 0.2815, -0.1153, 0.0597, -0.0901, -0.2013, -1.0814]","[-0.3315, -0.0499, -0.2848, 0.0925, -0.318, -0.2025, -0.155]","[-0.3139, -0.3638, -0.3369, 0.1003, -0.338, -0.2009, 0.4757]","[-0.2905, -0.6543, -0.312, 0.0919, -0.2918, -0.1947, 1.7791]","[-0.2505, -0.9048, -0.285, 0.0734, -0.0913, -0.205, -1.0004]","[0.2081, -0.6967, -0.111, 0.0157, -0.2349, -0.1954, 0.5012]","[0.1639, -0.5327, 0.0405, 0.0138, -0.2378, -0.1853, 1.9542]","[-0.2083, -0.741, 0.0546, 0.0666, -0.2357, -0.1901, 0.1882]","[-0.266, -1.007, -0.1035, 0.0887, -0.2157, -0.1983, -1.1234]","[-0.1036, -1.1106, -0.1926, 0.0676, -0.2644, -0.2032, 0.4274]","[-0.1347, -1.2453, -0.1681, 0.0661, -0.1997, -0.193, -0.7077]","[-0.3147, -1.56, -0.1843, 0.0833, -0.3098, -0.199, -1.4151]","[-0.0786, -1.6386, -0.176, 0.0597, -0.3, -0.1965, 0.1865]","[-0.2365, -1.8752, -0.21, 0.0672, -0.2185, -0.198, -0.0012]","[-0.1535, -2.0287, -0.1562, 0.0332, 0.3652, -0.2001, 0.8551]","[-0.0431, -2.0717, -0.1444, 0.0237, 0.0617, -0.1961, 0.175]"
2020-05-25,"[1.3895, 1.3895, 1.3895, -0.1155, -0.1065, -0.1151, -0.7624]","[0.3173, 1.7069, 0.8534, -0.0134, 0.103, -0.189, 0.3806]","[-0.104, 1.6029, 0.5343, 0.0092, 0.4773, -0.1934, -1.6089]","[0.283, 1.8859, 0.1654, -0.0419, -0.1146, -0.1969, 0.0414]","[-0.1347, 1.7512, 0.0148, -0.1209, -0.0422, -0.1846, -0.9468]","[-0.2595, 1.4917, -0.0371, 0.0352, -0.1686, -0.1984, 0.6399]","[-0.3875, 1.1042, -0.2605, 0.0418, 0.0797, -0.1967, -1.2582]","[-0.2652, 0.839, -0.304, 0.081, 0.6299, -0.1859, -0.3042]","[-0.3756, 0.4634, -0.3428, 0.1135, 0.319, -0.2002, -1.9335]","[-0.3572, 0.1062, -0.3327, 0.1163, -0.0296, -0.2003, 0.8165]","[-0.2881, -0.1819, -0.3403, 0.105, -0.1654, -0.2037, -0.3893]","[-0.3045, -0.4864, -0.3166, 0.1037, 0.9702, -0.2029, -1.1712]","[-0.3204, -0.8068, -0.3043, 0.09, -0.2865, -0.2025, -0.899]","[-0.201, -1.0077, -0.2753, 0.0111, -0.3147, -0.1986, -1.1958]","[-0.3793, -1.387, -0.3002, 0.0337, -0.2492, -0.203, -1.7183]","[0.1083, -1.2787, -0.1573, 0.0272, -0.183, -0.1804, 0.3713]","[-0.2721, -1.5509, -0.181, 0.092, -0.2341, -0.2026, -0.3203]","[-0.237, -1.7878, -0.1336, 0.0668, -0.3237, -0.2002, 0.7846]","[-0.3584, -2.1463, -0.2892, 0.0864, -0.1838, -0.2014, -0.0652]","[-0.2717, -2.418, -0.289, 0.0995, -0.2198, -0.2018, 0.591]","[-0.2693, -2.6873, -0.2998, 0.0625, -0.1588, -0.1995, -0.8828]","[-0.2967, -2.9839, -0.2792, 0.0857, 0.265, -0.2006, -1.0015]","[-0.2202, -3.2041, -0.262, 0.0412, 0.1165, -0.2002, 0.8461]","[0.2707, -2.9334, -0.0821, -0.0102, 0.0969, -0.1941, -1.3355]"
2020-05-26,"[0.1427, 0.1427, 0.1427, -0.1403, 0.0883, -0.182, -1.3595]","[0.0101, 0.1528, 0.0764, -0.0225, 0.4532, -0.1933, -0.6974]","[-0.3212, -0.1684, -0.0561, 0.0384, 0.8258, -0.1995, -1.0147]","[0.0715, -0.0969, -0.0799, -0.0435, -0.1903, -0.1856, -0.3007]","[0.3947, 0.2977, 0.0483, -0.1492, -0.1617, -0.1896, 0.5025]","[-0.1564, 0.1414, 0.1033, 0.0324, -0.2173, -0.2003, -0.6849]","[0.0543, 0.1957, 0.0975, 0.0101, -0.3208, -0.2007, 0.1999]","[0.3427, 0.5384, 0.0802, 0.0211, -0.2185, -0.1897, -0.8805]","[-0.3384, 0.2, 0.0195, 0.1354, -0.2014, -0.1982, -0.363]","[-0.0811, 0.1189, -0.0256, 0.1021, -0.1519, -0.1916, -1.3025]","[-0.077, 0.0419, -0.1655, 0.091, -0.3061, -0.1895, -0.9586]","[-0.3094, -0.2675, -0.1558, 0.1124, -0.2165, -0.2032, 0.4351]","[-0.349, -0.6165, -0.2451, 0.1117, -0.115, -0.1922, 0.9731]","[-0.2296, -0.8461, -0.296, 0.0124, -0.3544, -0.1994, -0.035]","[-0.2963, -1.1424, -0.2916, 0.0465, -0.3139, -0.2033, -0.8071]","[-0.3781, -1.5205, -0.3013, 0.0592, -0.3597, -0.2041, -0.0621]","[-0.3012, -1.8217, -0.3252, 0.104, 0.031, -0.2029, -1.0999]","[-0.3225, -2.1441, -0.3339, 0.076, -0.3801, -0.203, 0.1294]","[-0.1122, -2.2563, -0.2453, 0.0737, -0.1371, -0.2031, -0.6254]","[-0.3274, -2.5837, -0.254, 0.1144, -0.194, -0.2049, 1.0245]","[-0.2975, -2.8812, -0.2457, 0.0731, -0.2128, -0.2007, -1.28]","[-0.1126, -2.9938, -0.2458, 0.0831, -0.3364, -0.2004, -1.2148]","[-0.1789, -3.1726, -0.1963, 0.0677, -0.2762, -0.1968, -0.4865]","[-0.1482, -3.3208, -0.1465, -0.009, 0.1099, -0.2032, 0.2727]"
