000753-pred,000753-true
-0.3455063,0.2036
-0.34136254,2.2515
-0.36995563,-0.4065
-0.3059423,-0.3125
-0.326778,-0.5072
-0.34694386,-0.1736
-0.3320291,-0.3263
-0.4430822,-0.6092
-0.5949352,-0.6531
-0.5045144,-0.5522
-0.31124654,-0.3071
-0.3199733,-0.5818
-0.34779912,-0.6256
-0.34742445,-0.5994
-0.3411187,-0.5785
-0.34242022,0.4854
-0.33092844,-0.5238
-0.34253415,-0.5555
-0.31986183,-0.1736
-0.29544666,-0.1263
-0.30236295,-0.65
-0.32306075,-0.41
-0.3061191,-0.5391
-0.35040283,-0.6235
-0.3375414,-0.3643
-0.40666783,-0.6381
-0.35077012,-0.5991
-0.48437682,-0.6367
-0.64562035,-0.5224
-0.61838394,-0.1614
-0.30233365,-0.4452
-0.40188053,-0.1032
-0.34363872,-0.57
-0.36658037,-0.6017
-0.3312574,-0.5424
-0.3387606,-0.403
-0.36659092,-0.4816
-0.39176178,0.1083
-0.37433308,-0.2817
-0.32838228,-0.1661
-0.2937914,-0.3371
-0.30315632,-0.4851
-0.32536525,-0.1862
-0.31637478,0.3646
-0.33009344,-0.0035
-0.32993263,-0.3132
-0.41608864,0.0997
-0.50023496,-0.5754
-0.7142174,-0.5499
-0.45092472,-0.4783
-0.3614512,1.0167
-0.32332003,-0.5496
-0.3249606,-0.5597
-0.33881545,-0.5618
-0.36220938,-0.6479
-0.34825683,-0.5487
-0.3351736,0.1445
-0.3043639,-0.1149
-0.32724708,-0.4131
-0.33057696,-0.2454
-0.30152613,-0.3971
-0.30282348,-0.6167
-0.31412098,-0.5583
-0.32144365,-0.5189
-0.3544013,-0.5126
-0.33081323,-0.5956
-0.32777727,-0.5417
-0.4045162,-0.6561
-0.33127105,-0.0891
-0.34164536,-0.5679
-0.3169447,-0.6371
-0.330297,-0.6532
-0.33844733,-0.4967
-0.33928865,-0.5841
-0.3501776,-0.5852
-0.36964965,-0.5965
-0.30778056,-0.5471
-0.30115283,-0.4398
-0.37577748,-0.6172
-0.39975902,-0.0624
-0.31490007,-0.3007
-0.3103704,-0.2184
-0.32294995,-0.1398
-0.339117,-0.2543
-0.3128925,-0.2357
-0.34345922,-0.3939
-0.40864006,-0.4382
-0.34771782,-0.5339
-0.3170574,-0.41
-0.37547928,-0.5421
-0.3206561,-0.5907
-0.35110137,-0.4288
-0.33825016,-0.5257
-0.4017068,-0.5384
