000998-pred,000998-true
-0.28761762,-0.1723
-0.25479317,-0.4585
-0.28663397,-0.4176
-0.25353244,-0.3637
-0.28803644,-0.5616
-0.27877644,-0.4341
-0.26231754,-0.1864
-0.27092808,-0.4072
-0.27557582,-0.3439
-0.25384396,-0.5542
-0.27083948,-0.571
-0.2775163,-0.6204
-0.30185428,-0.4792
-0.25464028,-0.2834
-0.29362485,-0.1579
-0.26780728,-0.0951
-0.27671224,-0.2064
-0.26272106,0.8317
-0.24352692,-0.1356
-0.28171077,-0.0314
-0.31791845,0.1204
-0.31044766,0.5972
-0.31342888,1.1396
-0.2903491,0.0972
-0.2741388,-0.0421
-0.26903298,0.4485
-0.2793584,1.1752
-0.2810259,1.8843
-0.27940816,0.4037
-0.28780743,-0.0253
-0.28854838,0.661
-0.29647756,0.5236
-0.28418586,-0.1086
-0.28182042,0.0086
-0.29190108,-0.1965
-0.29509383,0.0029
-0.2808547,0.023
-0.24845868,-0.1744
-0.291483,-0.1154
-0.30433074,0.3197
-0.30435622,-0.0246
-0.3162764,-0.2775
-0.2807734,-0.2538
-0.29340804,-0.503
-0.26175267,-0.4604
-0.28420597,-0.1495
-0.2519671,-0.5196
-0.2797521,-0.5631
-0.28618965,0.0342
-0.29789466,-0.2338
-0.29422915,0.1033
-0.30348933,-0.1703
-0.2605638,-0.3814
-0.29305974,-0.4741
-0.27133194,-0.4963
-0.31363103,-0.5193
-0.29588366,-0.3046
-0.3063126,-0.1496
-0.3071332,0.0402
-0.31229013,0.2705
-0.2892968,-0.1986
-0.30896997,-0.3308
-0.30533558,-0.5115
-0.30695876,-0.3299
-0.27731204,-0.5944
-0.2809188,-0.5796
-0.2685306,-0.5942
-0.23989743,-0.6377
-0.2824756,-0.6189
-0.30056378,-0.4978
-0.31149694,-0.0558
-0.26664504,-0.3624
-0.3014293,-0.459
-0.31519753,-0.5286
-0.29732442,-0.1754
-0.31070358,-0.5543
-0.31114295,-0.5193
-0.30899882,-0.3881
-0.29663178,-0.0006
-0.30671722,-0.1145
-0.30328423,-0.3409
-0.30723828,-0.4158
-0.3083809,-0.4989
-0.28395194,-0.5072
-0.2780394,-0.5717
-0.2857285,-0.5662
-0.2548545,-0.586
-0.29771447,-0.4963
-0.29306176,-0.4145
-0.3140687,-0.5687
-0.30347311,-0.2025
-0.28485435,-0.4205
-0.2921342,-0.4752
-0.30842063,-0.5325
-0.3029477,-0.4878
-0.296611,-0.4546
-0.30742058,-0.485
-0.27899408,-0.478
-0.2776153,-0.0759
-0.29728377,0.2198
-0.2698244,1.1304
-0.31069613,-0.2338
-0.2854879,-0.2204
-0.2744437,-0.3733
-0.25269476,-0.5592
-0.28704524,-0.4106
-0.26944715,-0.6091
-0.24776828,-0.5291
-0.23136319,-0.1128
-0.27521443,-0.4662
-0.24432716,-0.3429
-0.28130883,-0.4205
-0.23492473,-0.4619
-0.25783262,-0.5118
-0.2558642,-0.5
-0.26744273,-0.3892
-0.24296221,-0.244
-0.26679716,-0.198
-0.24401695,-0.0853
-0.2339567,-0.2491
-0.29340598,0.5511
-0.28164518,-0.2571
-0.30081058,-0.3934
-0.28712004,-0.2787
-0.27804002,-0.5141
-0.26996562,0.0174
-0.25080153,-0.3137
-0.23631696,0.3025
-0.26140022,-0.137
-0.2769595,-0.4319
-0.2961358,-0.5069
-0.2749685,-0.4267
-0.24387003,-0.5269
-0.2793368,-0.4316
-0.28036502,-0.5004
-0.23755974,-0.242
-0.2686363,-0.3892
-0.21750653,-0.3464
-0.22285876,-0.4153
-0.25668147,-0.1824
-0.30091056,-0.5516
-0.26840633,-0.5832
-0.2820668,-0.1331
-0.2856722,-0.3318
-0.26325285,-0.556
-0.30433455,-0.5555
-0.25922897,-0.5709
-0.27485663,0.4686
-0.28259596,-0.5785
-0.3169263,-0.5972
-0.30160472,-0.5342
-0.2877223,-0.6397
-0.28895023,-0.5994
-0.29418007,-0.6408
-0.25839248,-0.5103
-0.26267543,-0.5064
-0.2908549,-0.4686
-0.29243836,-0.3692
-0.27976233,-0.333
-0.27309275,-0.1524
-0.29186413,-0.3483
-0.3190891,-0.1455
-0.3016292,-0.4246
-0.26998404,0.0139
-0.2842276,-0.4008
-0.28433633,-0.4171
-0.29248333,-0.508
-0.30027884,-0.4526
-0.27941784,-0.0014
-0.29750115,-0.1754
-0.29569647,-0.4088
-0.27672148,-0.4074
-0.2874074,-0.5213
-0.29030424,-0.4519
-0.29655164,-0.2739
-0.29273975,-0.3896
-0.29019493,-0.5427
-0.2960008,-0.5217
-0.2882567,-0.268
-0.26754916,-0.0342
-0.271289,0.1959
-0.26133865,-0.0284
-0.22728959,-0.4736
-0.26179588,-0.4694
-0.20101057,-0.5454
-0.21328965,-0.4744
-0.17103636,-0.469
-0.20460874,-0.5982
-0.2765896,-0.5482
-0.25277784,-0.5723
-0.28024483,-0.5266
-0.23687974,-0.4838
-0.2358259,-0.602
-0.23928602,-0.581
-0.24653138,-0.5276
-0.22081393,-0.5172
-0.24297991,-0.4515
-0.2389238,-0.0426
-0.226937,0.0495
-0.2535006,0.1221
-0.27748972,-0.5032
-0.26202393,-0.5051
-0.25405902,-0.5841
-0.25917715,-0.4789
-0.26479697,-0.1059
-0.23548281,0.122
-0.23053913,-0.2878
-0.2582726,-0.4737
-0.30350375,-0.5039
-0.26728356,-0.2974
-0.23978534,-0.3241
-0.21099988,-0.4183
-0.28393573,-0.4808
-0.2147805,-0.3702
-0.2070343,-0.3497
-0.27250016,-0.4009
-0.2986889,-0.4215
-0.26686135,-0.3301
-0.28193006,-0.3661
-0.22671914,0.0473
-0.27762496,0.8924
-0.28542578,-0.2821
-0.28785786,-0.4427
-0.22306463,-0.5497
-0.27713585,-0.5155
-0.25444806,-0.6181
-0.26285446,-0.5087
-0.29446936,-0.6563
-0.27237096,-0.4872
-0.29135838,-0.5683
-0.23944569,-0.6168
-0.27120388,-0.5452
-0.22871065,-0.5104
-0.20785116,-0.534
-0.18294245,-0.6301
-0.24465697,-0.6124
-0.26662454,-0.5546
-0.26829094,-0.417
-0.21121857,-0.3227
-0.23717554,-0.2063
-0.23090248,-0.2157
-0.26999193,-0.0452
-0.26025853,-0.1785
-0.2309215,-0.1728
-0.23133914,-0.244
-0.17230695,0.2326
-0.23054408,-0.4086
-0.22478978,-0.4137
-0.22345111,-0.1694
-0.23779681,-0.4008
-0.19103947,-0.2491
-0.23105979,-0.4088
-0.15685508,-0.3128
-0.1867553,-0.3614
-0.24547964,-0.4836
-0.23396099,-0.3478
-0.26417202,-0.3044
-0.20769191,-0.1917
-0.16976258,-0.2465
-0.20411053,-0.1886
-0.2640389,-0.0436
-0.23941281,-0.2631
-0.25619406,-0.4688
-0.27316383,-0.5377
-0.2715659,-0.4537
-0.22374302,-0.5423
-0.24417925,-0.6101
-0.20183796,-0.5064
-0.25478065,-0.3824
-0.2639409,-0.3246
-0.23081422,-0.3382
-0.25624233,-0.511
-0.23753473,-0.4264
-0.21191968,-0.5093
-0.23625669,-0.4424
-0.23353973,-0.4714
-0.19557561,-0.3691
-0.21714026,-0.4719
-0.23112817,-0.596
-0.25478935,-0.3838
-0.27767965,-0.5424
-0.23883356,-0.4524
-0.27420163,-0.6
-0.26739955,-0.6604
-0.27860987,-0.4187
-0.21724206,-0.2772
-0.20662537,-0.3544
-0.2696354,-0.6026
-0.22493035,-0.5018
-0.23146507,-0.642
-0.23669499,-0.4034
-0.26785624,-0.6345
-0.23483744,-0.6274
-0.27184713,-0.542
-0.23838204,-0.5315
-0.22431925,-0.6245
-0.1868385,-0.603
-0.26898748,-0.3668
-0.2788678,-0.3915
-0.20759533,-0.3568
-0.28992766,-0.3813
-0.2433423,-0.6194
-0.25068778,-0.5127
-0.2536445,-0.6
-0.2123859,-0.6266
-0.21895842,-0.6594
-0.19629814,-0.6378
-0.22133079,-0.5722
-0.23584059,-0.5708
-0.26301992,-0.582
-0.2357538,-0.6451
-0.2511938,-0.6009
-0.25478023,-0.5727
-0.23279762,-0.5712
-0.24402915,-0.5753
-0.19525443,-0.4119
-0.21421748,-0.2793
-0.21950418,-0.4483
-0.24222453,-0.0988
-0.259247,-0.1852
-0.23242407,-0.436
-0.23326087,-0.4644
-0.18160248,-0.515
-0.2688858,-0.5446
-0.25026295,-0.6205
-0.23257318,-0.6576
-0.23050375,-0.5137
-0.22626883,-0.5241
-0.209041,-0.5614
-0.23644274,0.406
-0.22890383,-0.1594
-0.18597338,-0.3817
-0.19624421,-0.6271
-0.23593722,-0.6438
-0.24537595,-0.4696
-0.2098019,-0.5245
-0.21939832,-0.572
-0.22270268,-0.5174
-0.1753349,-0.5026
-0.18333554,-0.4512
-0.293877,-0.313
-0.2817279,-0.3415
-0.27798253,-0.4395
-0.27592787,-0.5535
-0.22575985,-0.49
-0.23293263,-0.5289
-0.2547074,-0.5333
-0.23157232,-0.569
-0.24285886,-0.2543
-0.24876489,-0.4965
-0.26026207,-0.4708
-0.27661422,-0.5807
-0.2718997,-0.4874
-0.28224093,-0.4048
-0.29416487,-0.5352
-0.17426103,-0.4522
-0.23866418,-0.4841
-0.22125727,-0.5714
-0.2643156,-0.3596
-0.25339615,-0.1736
-0.30808088,-0.4621
-0.31501615,-0.4965
-0.3010826,-0.5331
-0.3124686,-0.2764
-0.2830849,-0.106
-0.23179896,-0.5119
-0.24390335,-0.6028
-0.29510075,-0.6266
-0.24401212,-0.5322
-0.2883202,-0.4854
-0.27160037,-0.5895
-0.28509417,-0.5566
-0.2466599,-0.4732
-0.29809216,-0.5257
-0.25449884,-0.465
-0.3031087,-0.4773
-0.2716846,-0.4738
-0.2931921,0.0048
-0.27254,-0.3457
-0.26041794,-0.2664
-0.2834968,-0.4385
-0.28599975,-0.235
-0.28376114,-0.3516
-0.26477838,-0.3805
-0.22501701,-0.3295
-0.22264886,-0.233
-0.2472553,-0.3195
-0.20974204,-0.0791
-0.22534934,-0.1578
-0.28503406,-0.4877
-0.2647511,-0.5173
-0.27280098,-0.5772
-0.24965972,-0.5222
-0.21017948,-0.4617
-0.20333979,-0.5258
-0.23306954,-0.5512
-0.2081466,-0.5374
-0.28867885,-0.3893
-0.24467838,-0.1788
-0.25365573,-0.2294
-0.27229127,-0.457
-0.20399392,-0.2905
-0.25937635,0.1821
-0.25700635,2.9022
-0.18329625,0.696
-0.18573101,-0.2454
-0.24222834,-0.3095
-0.22905988,-0.381
-0.26381427,-0.1925
-0.2343341,-0.4066
-0.24371165,-0.3661
-0.2357864,-0.4208
-0.22297317,-0.4103
-0.26594537,-0.5961
-0.23888725,-0.4268
-0.26615608,-0.2882
-0.2449316,-0.409
-0.21801749,-0.4221
-0.19779052,-0.4583
-0.23429921,-0.1765
-0.22232011,-0.5365
-0.21443726,-0.4718
-0.22635987,-0.5666
-0.23303697,-0.4153
-0.22553757,-0.5638
-0.25001526,-0.619
-0.24381226,-0.4654
-0.2499806,-0.5501
-0.26755235,-0.5393
-0.2425853,-0.6382
-0.26378483,-0.6651
-0.22849064,-0.6117
-0.20143345,-0.5227
-0.18550707,-0.6001
-0.22330604,-0.5833
-0.21991521,-0.4367
-0.2198834,-0.0545
-0.16533755,-0.4365
-0.16519833,-0.2099
-0.19596966,-0.1796
-0.28029695,-0.4968
-0.2502304,-0.3308
-0.236477,-0.3428
-0.21750107,1.368
-0.18384628,1.3638
-0.25627604,-0.264
-0.28328657,0.0561
-0.27285892,-0.1985
-0.26919988,0.558
-0.2645177,-0.356
-0.2517804,-0.2776
-0.25058973,-0.0909
-0.25816756,-0.1601
-0.24242735,-0.1938
-0.21916157,-0.1512
-0.18462099,-0.2907
-0.21801758,-0.4001
-0.26387253,-0.4194
-0.22440398,-0.399
-0.24715558,0.0186
-0.27425194,0.4683
-0.27083498,1.7644
-0.29080963,1.321
-0.30582777,-0.0653
-0.2969858,0.3456
-0.2817181,1.455
-0.26848236,0.6788
-0.27923474,-0.1231
-0.28295317,2.4079
-0.22324093,2.9807
-0.29343298,0.8222
-0.2884171,1.7151
-0.23280045,0.8031
-0.24616516,0.0494
-0.24373557,0.2818
-0.27929968,0.1607
-0.24344605,-0.2715
-0.265234,0.1601
-0.20736152,-0.1366
-0.27441972,1.2725
-0.26609796,0.0764
-0.2854453,-0.1003
-0.2828682,-0.1011
-0.3124866,-0.1822
-0.29193053,0.1306
-0.30247962,0.1883
-0.29473758,0.8561
-0.26702964,1.4583
-0.2536096,0.8074
-0.26172262,-0.2494
-0.28819567,-0.1976
-0.27964765,-0.0778
-0.24968782,-0.1291
-0.22712702,-0.1954
-0.2930097,-0.1832
-0.21624261,0.1324
-0.17588636,-0.2372
-0.25557494,-0.383
-0.27484673,-0.2323
-0.2862742,0.3826
-0.2759555,0.3152
-0.30113366,-0.2531
-0.26893282,-0.3518
-0.25671393,-0.4196
-0.2769625,-0.0432
-0.28684407,-0.1277
-0.28884506,-0.5123
-0.29360765,-0.5177
-0.25293395,-0.3973
-0.2844528,-0.5837
-0.2543203,0.0133
-0.2626785,-0.2572
-0.25942537,-0.5206
-0.23310149,-0.4999
-0.261347,-0.5472
-0.22010405,-0.566
-0.26004124,-0.4321
-0.25753936,-0.5307
-0.2366928,-0.4782
-0.25566342,-0.081
-0.2735099,-0.4747
-0.2500229,-0.5344
-0.21233204,-0.3657
-0.24165516,-0.5072
-0.25946146,-0.5931
-0.30462694,-0.4293
-0.2408919,-0.5397
-0.2616003,-0.6586
-0.26070297,-0.5256
-0.24560675,-0.6295
-0.2329708,-0.4686
-0.25807968,-0.544
-0.2609222,-0.5039
-0.24274729,-0.6294
-0.22597346,-0.5438
-0.24742757,-0.5698
-0.28660035,-0.5108
-0.20938073,-0.4217
-0.21459717,-0.5229
-0.2479236,-0.3321
-0.27454534,-0.3552
-0.26357818,-0.2051
-0.24297316,-0.4451
-0.23020765,-0.4761
-0.28492332,-0.3952
-0.28249907,-0.4462
-0.2517496,-0.5993
-0.24600516,-0.5827
-0.25691196,-0.4973
-0.24423945,-0.5477
-0.28009433,-0.4413
-0.22537763,-0.0976
-0.20455058,-0.3148
-0.22144309,-0.4087
-0.2613691,0.11
-0.25956857,0.1519
-0.25155038,2.3646
-0.21461791,0.2234
-0.21824047,0.27
-0.27143726,0.1342
-0.29272294,-0.3562
-0.27171195,-0.455
-0.28279927,-0.491
-0.2859517,-0.4347
-0.2568455,-0.4367
-0.2630384,-0.3787
-0.26820874,-0.5448
-0.27345318,-0.3336
-0.27516174,-0.5362
-0.2865119,-0.1823
-0.28116566,0.7272
-0.24075906,-0.2658
-0.2555116,-0.3647
-0.29498172,-0.5087
-0.28982198,-0.2848
-0.27689204,-0.2617
-0.2560239,-0.0
-0.24363196,-0.157
-0.24572162,-0.2817
-0.26184237,0.0073
-0.2806324,-0.1181
-0.28663978,-0.0238
-0.26217824,-0.4835
-0.26473334,0.779
-0.27645606,-0.3374
-0.2793492,-0.3128
-0.18494466,-0.2208
-0.2376244,-0.3403
-0.24529909,-0.1035
-0.25795847,-0.4043
-0.2848519,0.1592
-0.25355434,-0.1067
-0.22936985,0.0784
-0.2699267,-0.1037
-0.2710481,-0.1789
-0.26839232,-0.3274
-0.27199093,0.152
-0.274841,0.107
-0.26315218,0.0652
-0.2838816,0.3673
-0.25610766,0.1807
-0.2838594,-0.0622
-0.31229535,-0.0053
-0.22558266,-0.2852
-0.2724945,-0.0046
-0.24923845,-0.1744
-0.26051748,-0.3827
-0.21679671,-0.1817
-0.23423357,-0.0485
-0.25661048,-0.3101
-0.24302153,0.3852
-0.225202,0.1882
-0.24944879,0.0322
-0.25390577,-0.0917
-0.24772756,0.0818
-0.20137993,0.0226
-0.24676272,0.2038
-0.25987935,1.1739
-0.24592891,0.2943
-0.22455776,0.0565
-0.29630187,0.5239
-0.30418774,0.2573
-0.29297572,0.1113
-0.2909909,-0.1767
-0.24073668,0.6654
-0.30344352,0.7204
-0.28250605,0.3022
-0.19913653,0.0558
-0.2802245,0.5578
-0.25632793,0.3473
-0.2598345,0.1457
-0.28053996,-0.0672
-0.2669464,-0.1949
-0.28355804,0.1277
-0.25954372,-0.0044
-0.209107,0.0966
-0.28975102,0.1161
-0.30235344,0.7065
-0.2473495,0.329
-0.27121335,0.8222
-0.30726856,0.5776
-0.31364003,0.4564
-0.29191536,2.1048
-0.2929842,0.0772
-0.2662301,0.222
-0.28470045,-0.1016
-0.2567226,-0.1259
-0.24415646,-0.1779
-0.27677357,0.3174
-0.2915421,0.1043
-0.2728043,0.9533
-0.22712827,0.7959
-0.2937368,0.2355
-0.26975203,0.7924
-0.28922406,0.2115
-0.28104863,0.6207
-0.22762646,0.0088
-0.27013326,-0.1554
-0.2403034,0.3068
-0.28544793,1.2813
-0.28947443,-0.0894
-0.3069019,0.4686
-0.30099094,0.5689
-0.25071838,-0.219
-0.30048552,-0.2114
-0.2948751,-0.3614
-0.28568855,-0.1138
-0.26892212,0.3446
-0.29240635,0.9921
-0.26492387,0.2322
-0.23613073,-0.0227
-0.27488783,0.0602
-0.28921777,1.0515
-0.28055593,0.3973
-0.27365947,0.1557
-0.26875398,-0.0855
-0.25298497,0.1332
-0.26178882,1.4169
-0.23810098,1.1742
-0.24629812,1.005
-0.28055573,0.3034
-0.26593924,1.2163
-0.28816283,0.2908
-0.25969863,0.0537
-0.29934406,-0.1763
-0.25281733,-0.0586
-0.2764925,-0.2362
-0.2421473,-0.0476
-0.271649,0.2143
-0.24799868,-0.112
-0.2934314,1.233
-0.26822254,2.1827
-0.25556403,2.1776
-0.24982281,0.5685
-0.28132018,0.0516
-0.23666342,0.0522
-0.25536233,0.6395
-0.24830711,0.7979
-0.24885944,0.2728
-0.2717698,1.2165
-0.30488244,1.6357
-0.28545344,0.5842
-0.28465545,0.7097
-0.28685337,1.3874
-0.2732806,-0.1015
-0.2765767,-0.2307
-0.24210757,-0.1863
-0.30224365,-0.3186
-0.29187456,-0.2722
-0.25047725,-0.1595
-0.26360393,-0.2078
-0.25409582,-0.3542
-0.27308023,-0.0453
-0.28522107,0.2236
-0.28170723,-0.1589
-0.26519886,-0.2691
-0.25737655,0.1421
-0.27109456,0.3386
-0.2591534,1.1563
-0.2555812,0.9207
-0.29655263,0.4803
-0.28749695,0.6185
-0.30230725,0.2543
-0.25536638,0.07
-0.30122128,-0.1282
-0.2648667,-0.0993
-0.23898286,0.7983
-0.27049792,0.2901
-0.251886,1.0531
-0.24221969,2.5437
-0.24707371,1.2926
-0.2706207,0.5412
-0.2534212,0.4108
-0.2624597,1.3917
-0.272902,0.4531
-0.25757584,0.6018
-0.2921332,1.5579
-0.23601264,1.2962
-0.22350152,1.4266
-0.28938112,1.4927
-0.28922334,3.4137
-0.26312816,0.4668
-0.26837686,1.1666
-0.27704975,0.9693
-0.2527703,0.1265
-0.26345906,-0.1279
-0.28149834,0.0456
-0.2630943,0.2162
-0.26902136,-0.1578
